TEAM,Games Played,Won,Offensive Efficiency,Defensive Efficiency,Power Rating,Field Goal Shot,Field Goal Allowed,Turnover allowed,Turn Over Commited,Free Throw Shot,Free Throw Allowed,Two Point Shot,Two Point Allowed,Three Point Shot,Three Point Allowed
Pepperdine,31,6,105.1,112,0.3236,49.5,57,17.2,15.5,35.2,33.5,48.8,54.7,34.2,40.1
Oral Roberts,28,11,104.8,111.8,0.3222,48.9,54.2,19,15.3,24.3,31.2,47.7,53.9,34.2,36.5
Eastern Illinois,29,12,99.4,106.1,0.3191,47.7,52,20.4,19.3,32.2,33.4,44.6,48.5,35.3,38.5
Florida Atlantic,28,12,95.5,102,0.3187,43.9,49.2,18.2,16.6,29,32.6,42.3,49.1,31.9,32.9
North Dakota,30,12,102,109,0.3181,51.8,56.4,17.4,19.7,35.5,34.1,51.4,56,35.1,38
Cornell,27,12,104.8,112.2,0.3131,52.5,53.3,18.5,15.7,35.1,28.8,54,49.9,33.4,39.3
Southern Utah,30,13,100.7,108.1,0.3062,50.4,54.6,17.4,16.6,35.9,41.6,48.2,53.2,36.1,38.2
Charleston Southern,28,15,99.9,107.3,0.3058,49,53.9,19.5,22.1,31.3,35.1,49,49.9,32.6,39.2
Gardner Webb,29,14,97.6,104.8,0.305,49.1,50.4,20.1,17.1,28,37.3,48.1,50.8,34,33.2
Hampton,32,19,100.1,107.6,0.3037,48.8,48.9,16.9,16.9,33.8,35.7,49.1,48.2,32,33.3
Drexel,32,13,102.3,110.2,0.2981,49.6,52.2,17.3,15.6,31.8,30.6,50.2,51.1,32.2,36.3
Boston University,30,15,99.3,107.1,0.2953,52.8,52.8,20.1,20.1,32.8,30,51.1,52.2,37.3,35.8
