TEAM,Games Played,Won,Offensive Efficiency,Defensive Efficiency,Power Rating,Field Goal Shot,Field Goal Allowed,Turnover allowed,Turn Over Commited,Free Throw Shot,Free Throw Allowed,Two Point Shot,Two Point Allowed,Three Point Shot,Three Point Allowed
Iowa St.,31,13,110.2,101.3,0.7249,49.9,51,17,16.4,29.8,26.5,47.9,51,35.8,33.9
Wake Forest,31,11,110.4,101.6,0.7242,50.5,51.5,18.8,17.5,31.9,39,47.4,48.1,37.4,37.7
BYU,35,24,106.7,98.2,0.7226,54.1,51.3,16.8,18.5,37.6,28.4,55.3,51.9,34.7,33.6
Belmont,33,24,112.3,103.4,0.7217,58.8,48.9,18.1,16.9,27.9,26.8,61.7,48.1,37.6,33.5
UNC Greensboro,32,27,103.4,95.2,0.7207,51.7,47.5,19.8,21.4,26,39.2,51.1,47.3,35,31.9
Iowa,33,14,116.1,106.9,0.7202,54.3,53.1,18.7,15.5,35.4,28.1,53.3,51.2,37.5,37.6
Montana,32,26,106.7,98.4,0.7184,51.2,48.4,17.4,21.2,38.3,41.4,51.4,46.3,33.7,35.2
Vanderbilt,32,12,114.7,105.9,0.7142,51.8,52.4,17.7,14.7,36.2,36.5,50.8,50.7,35.3,37.4
Temple,33,17,107.4,99.3,0.7113,49.3,49.8,15.9,18.7,25.6,31.5,47.2,50.5,35,32.4
DePaul,31,11,103.8,96,0.7111,47.9,52,19.4,20.2,29.4,32.3,48.5,49.2,31,37.1
Northern Kentucky,30,22,106.2,98.3,0.7087,53.8,47.1,17.6,19.2,31,31.7,55.7,46.7,34,31.8
SMU,33,17,107.6,99.8,0.7041,52,49.5,18,21.7,30.5,30.6,48.7,48.6,37.9,33.8
Furman,31,23,108.1,100.8,0.6911,54.9,50.1,16.5,20.6,28.2,29.9,56.8,51.4,35.3,32
Georgia St.,33,24,108.8,101.5,0.6894,53.9,47.1,16.7,20.6,30.9,38.6,50.9,44,38.7,33.8
Washington,34,21,105.9,98.8,0.6886,51.7,50.7,18.6,21.1,36.7,34.4,51.6,50.9,34.6,33.4
Tulsa,31,19,108.5,101.4,0.6853,50.7,49.5,18.6,17.9,41.6,25.3,49.7,47.9,34.7,34.4
Stephen F. Austin,31,28,103.8,97.1,0.6832,53.1,49.7,20.7,25.9,40.5,50.3,51.7,47.4,37.4,35.6
Utah Valley,31,23,109,102,0.6814,54.2,48.1,19.8,17.5,39.1,28.5,51.9,47.4,38.9,32.9
New Mexico,33,19,113.2,106.1,0.6778,53.5,54.8,16.8,22,34.6,39.9,51.4,53.7,37.1,38.1
