,Team,Games_Played,Won,Offensive_Efficiency,Defensive_Efficiency,Power_Rating,Field_Goal_Shot,Field_Goal_Allowed,Turnover_Allowed,Turn_Over_Commited,Free_Throw_Shot,Free_Throw_Allowed,Two_Point_Shot,Two_Point_Allowed,Three_Point_Shot,Three_Point_Allowed,Conference
341,Alabama St.,31,8,Poor,Best,Poor,46.5,51.9,19.9,18.3,35.2,46.6,45.2,49.4,32.8,37.7,BSky
342,South Carolina St.,30,10,Bad,Best,Poor,46.7,56.5,18.5,18.9,35.9,33.6,45.7,57.8,32.7,36.3,BSky
343,Chicago St.,30,3,Poor,Best,Poor,44.6,59.1,20.9,18.2,31.6,41.2,43.6,57.9,31.4,40.6,BSky
344,Northwestern St.,25,4,Poor,Better,Poor,44.3,54.1,24.7,19.1,33.2,40.1,44.9,53.1,28.3,37.2,BSky
345,Florida A&M,33,9,Poor,Best,Poor,47.2,53.6,19.5,18.7,32.1,36.2,44.8,54.4,35.1,34.8,BSky
346,Coppin St.,32,5,Poor,Better,Poor,43.3,49.2,20.5,17.9,27.1,37.6,41.0,48.3,30.5,33.7,BSky
347,Mississippi Valley St.,32,4,Poor,Better,Poor,42.6,54.9,19.1,19.6,29.1,39.2,41.6,54.6,30.1,36.8,BSky
348,Maryland Eastern Shore,30,7,Poor,Best,Poor,43.1,54.7,19.4,16.0,29.7,31.8,44.3,54.3,27.5,36.8,BSky
349,Alabama A&M,31,3,Poor,Best,Poor,45.0,54.0,24.2,16.6,31.4,29.8,44.8,52.3,30.3,38.4,BSky
350,Delaware St.,30,4,Poor,Best,Poor,47.3,55.9,22.8,18.2,28.5,35.7,46.1,53.8,33.2,38.9,BSky
