,Team,Games_Played,Won,Offensive_Efficiency,Defensive_Efficiency,Power_Rating,Field_Goal_Shot,Field_Goal_Allowed,Turnover_Allowed,Turn_Over_Commited,Free_Throw_Shot,Free_Throw_Allowed,Two_Point_Shot,Two_Point_Allowed,Three_Point_Shot,Three_Point_Allowed,Conference
196,Yale,30,16,Bad,Good,Good,52.7,52.4,18.8,17.7,31.0,33.8,55.3,53.4,32.8,33.7,Amer
197,Wagner,31,23,Bad,Good,Good,49.8,49.0,19.7,20.4,34.2,46.7,47.0,45.8,36.0,36.2,Amer
198,Long Beach St.,31,15,Good,Good,Good,49.6,53.7,20.7,18.7,40.3,28.6,48.4,52.5,35.1,37.5,Amer
199,Massachusetts,33,13,Good,Better,Good,52.5,51.5,18.6,16.5,25.1,33.2,47.9,51.2,40.0,34.7,Amer
200,Southern Miss,30,16,Good,Good,Good,50.3,56.0,14.6,19.8,28.3,32.9,49.8,55.1,34.1,38.1,Amer
201,Denver,28,15,Bad,Good,Good,52.4,51.3,21.8,15.7,32.8,37.0,49.2,52.0,39.5,33.5,Amer
202,Milwaukee,31,16,Bad,Bad,Good,50.9,50.1,18.1,18.0,27.7,27.4,50.9,46.5,33.9,37.4,Amer
203,Colgate,32,19,Good,Good,Good,51.5,53.2,16.4,19.4,29.0,29.4,49.0,51.8,36.3,36.7,Amer
204,Appalachian St.,31,15,Bad,Good,Bad,49.9,51.3,18.9,17.2,36.8,36.6,49.9,48.7,33.3,37.9,Amer
205,Idaho St.,28,14,Good,Better,Bad,55.0,52.5,18.5,16.7,34.5,31.0,52.4,53.1,39.4,34.3,Amer
206,FIU,29,14,Bad,Bad,Bad,47.1,50.6,15.6,19.8,36.5,34.8,47.2,50.6,31.3,33.7,Amer
207,Lamar,29,19,Bad,Good,Bad,48.5,51.7,17.9,21.9,36.3,38.3,46.7,51.3,34.4,35.0,Amer
208,Kent St.,33,17,Bad,Good,Bad,48.7,51.1,18.7,18.0,32.5,33.4,48.8,51.2,32.4,33.9,Amer
209,George Mason,33,16,Bad,Good,Bad,49.1,52.1,18.2,16.1,31.8,30.8,49.1,51.5,32.6,35.3,Amer
