STATE,Total_Population,Urban,Suburban,Rural,Male,Female,W,AA,AI,APAC,Native,Foreign,Europe,Asia,Africa,Oceania,Americas,Male_5,Male_8,Male_11,Male_A,Male_B,Male_G,Female_5,Female_8,Female_11,Female_A,Female_B,Female_G,Household_1,Household_2,Household_3,Household_4,MedianIncome,Family_1,Family_2,Family_3,Family_4,Family_5,PerCapitaIncome,Poverty,HousingUnits,Male_Ratio,Female_Ratio,Sex_Ratio,Urban_Ratio,Suburban_Ratio,Rural_Ratio,Location_Ratio,W_Ratio,AA_Ratio,AI_Ratio,APAC_Ratio,Race_Ratio,Native_Ratio,Foreign_Ratio,Origin_Ratio,Europe_Ratio,Asia_Ratio,Africa_Ratio,Oceania_Ratio,Americas_Ratio,Poverty_Ratio,Housing_Ratio,Male_5_Ratio,Male_8_Ratio,Male_11_Ratio,Male_A_Ratio,Male_B_Ratio,Male_G_Ratio,Female_5_Ratio,Female_8_Ratio,Female_11_Ratio,Female_A_Ratio,Female_B_Ratio,Female_G_Ratio,Educated_Sex_Ratio,College_Educated_Ratio
South Dakota,696004,163986,183917,348101,342498,353506,637515,3258,50575,4656,688273,7731,3366,2228,212,126,1575,2139,29120,14995,121601,25789,13473,1956,24492,16694,145612,26984,7645,51350,32008,59578,117123,22503,20841,17934,41372,74398,27660,10661,106305,292436,0.492,0.508,968.861,0.236,0.264,0.5,1000.569,0.916,0.005,0.073,0.007,91.745,0.989,0.011,11.232,0.435,0.288,0.027,0.016,0.204,152.736,2.38,0.01,0.141,0.072,0.587,0.125,0.065,0.009,0.11,0.075,0.652,0.121,0.034,1120.463,792.344
Tennessee,4877185,2218007,751941,1907237,2348928,2528257,4048068,778035,10039,41043,4818071,59114,17611,24938,2690,566,11155,58724,179821,185749,768305,172068,97025,48051,214333,237020,946072,158674,73224,370869,194266,367768,920612,24807,172007,126610,264926,505465,287334,12255,744941,2026067,0.482,0.518,929.07,0.455,0.154,0.391,642.179,0.83,0.16,0.002,0.008,204.818,0.988,0.012,12.269,0.298,0.422,0.046,0.01,0.189,152.74,2.407,0.04,0.123,0.127,0.526,0.118,0.066,0.029,0.128,0.141,0.564,0.095,0.044,1135.504,705.741
Texas,16986510,11372246,2262271,3351993,8365963,8620547,12774762,2021632,65877,2124239,15462074,1524436,110391,248878,27297,4031,1079350,262021,402354,519313,2604342,759752,399287,272911,450242,628216,3076301,668279,267587,1078268,597169,1140449,3263455,27016,548008,382967,778700,1528083,1147163,12904,3000515,7008999,0.493,0.507,970.468,0.669,0.133,0.197,245.846,0.752,0.119,0.004,0.125,329.693,0.91,0.09,98.592,0.072,0.163,0.018,0.003,0.708,176.641,2.424,0.053,0.081,0.105,0.526,0.154,0.081,0.051,0.084,0.117,0.574,0.125,0.05,1066.107,754.131
Utah,1722850,1319551,179530,223769,855759,867091,1615845,11576,24283,71146,1664250,58600,17820,15898,704,3448,19294,3743,11604,33608,267851,75580,43983,3867,11165,40886,324844,62954,17236,67805,49726,104664,315001,29470,31218,30156,75736,177706,98441,11029,192415,598388,0.497,0.503,986.931,0.766,0.104,0.13,149.271,0.938,0.007,0.014,0.041,66.222,0.966,0.034,35.211,0.304,0.271,0.012,0.059,0.329,111.684,2.879,0.009,0.027,0.077,0.614,0.173,0.101,0.008,0.024,0.089,0.705,0.137,0.037,1045.481,883.127
Vermont,562758,87088,94061,381609,275492,287266,555088,1951,1696,4023,545214,17544,6464,1998,166,110,8332,1398,15010,14690,95782,26068,17503,1293,13244,14715,114259,29052,14231,28136,19071,39486,123940,29792,10430,10123,25211,61623,38334,13527,53369,271214,0.49,0.51,959.014,0.155,0.167,0.678,2106.603,0.986,0.003,0.003,0.007,13.818,0.969,0.031,32.178,0.368,0.114,0.009,0.006,0.475,94.835,2.075,0.008,0.088,0.086,0.562,0.153,0.103,0.007,0.071,0.079,0.612,0.156,0.076,1130.525,831.068
Virginia,6187358,3829739,463704,1893915,3033974,3153384,4791739,1162994,15282,217343,5875549,311809,64759,134526,13220,2047,85074,54551,167535,199603,945231,304415,223755,46539,175043,233187,1180231,308264,136460,288508,173711,374122,1458381,33328,127744,102230,248359,599943,564459,15713,611611,2496334,0.49,0.51,962.133,0.619,0.075,0.306,441.118,0.774,0.188,0.002,0.035,291.255,0.95,0.05,53.069,0.208,0.431,0.042,0.007,0.273,98.848,2.479,0.029,0.088,0.105,0.499,0.161,0.118,0.022,0.084,0.112,0.567,0.148,0.066,1102.86,779.497
Washington,4866692,3214738,503210,1148744,2413747,2452945,4308937,149801,81483,326471,4544548,322144,76021,126076,4366,4038,102200,20851,65558,107535,924447,263808,136736,19627,65275,128952,1077176,233058,83367,242478,158603,335204,1139223,31183,96666,79247,201212,509563,389539,14923,517933,2032378,0.496,0.504,984.02,0.661,0.103,0.236,308.973,0.885,0.031,0.017,0.067,129.441,0.934,0.066,70.886,0.236,0.391,0.014,0.013,0.317,106.424,2.395,0.014,0.043,0.071,0.609,0.174,0.09,0.012,0.041,0.08,0.67,0.145,0.052,1051.781,869.563
West Virginia,1793477,388840,259344,1145293,861536,931941,1725523,56295,2458,9201,1777765,15712,7014,5581,489,80,2153,17805,76825,75609,298582,45515,29915,14302,87387,93059,363679,42621,26467,168627,88178,141362,290560,20795,80893,56196,108434,178267,79238,10520,345093,781295,0.48,0.52,924.453,0.217,0.145,0.639,1766.926,0.962,0.031,0.001,0.005,39.382,0.991,0.009,8.838,0.446,0.355,0.031,0.005,0.137,192.416,2.296,0.033,0.141,0.139,0.549,0.084,0.055,0.023,0.139,0.148,0.58,0.068,0.042,1157.094,688.515
Wisconsin,4891769,2464721,747235,1679813,2392935,2498834,4512523,244539,39387,95320,4770222,121547,56589,36472,2305,566,22357,18581,123916,134008,909161,185039,105966,17482,134883,145386,1061839,190564,67401,255413,170828,341433,1056578,29442,95812,86978,218190,550632,332685,13276,508545,2055774,0.489,0.511,957.621,0.504,0.153,0.343,522.988,0.922,0.05,0.008,0.019,84.043,0.975,0.025,25.48,0.466,0.3,0.019,0.005,0.184,103.959,2.38,0.013,0.084,0.091,0.616,0.125,0.072,0.011,0.083,0.09,0.656,0.118,0.042,1099.685,814.41
Wyoming,453588,114138,180497,158953,227007,226581,427061,3606,9479,13442,445941,7647,2727,1446,93,101,3045,1264,7537,10520,88327,18369,10594,869,6249,12707,98101,17985,5247,26858,17728,33235,91488,27096,11241,9885,22576,50528,26968,12311,52453,203411,0.5,0.5,1001.88,0.252,0.398,0.35,539.491,0.942,0.008,0.021,0.03,62.115,0.983,0.017,17.148,0.357,0.189,0.012,0.013,0.398,115.64,2.23,0.009,0.055,0.077,0.647,0.134,0.078,0.006,0.044,0.09,0.695,0.127,0.037,1034.47,859.07
