STATE,Total_Population,Urban,Suburban,Rural,Male,Female,W,AA,AI,APAC,Native,Foreign,Europe,Asia,Africa,Oceania,Americas,Male_5,Male_8,Male_11,Male_A,Male_B,Male_G,Female_5,Female_8,Female_11,Female_A,Female_B,Female_G,Household_1,Household_2,Household_3,Household_4,MedianIncome,Family_1,Family_2,Family_3,Family_4,Family_5,PerCapitaIncome,Poverty,HousingUnits,Male_Ratio,Female_Ratio,Sex_Ratio,Urban_Ratio,Suburban_Ratio,Rural_Ratio,Location_Ratio,W_Ratio,AA_Ratio,AI_Ratio,APAC_Ratio,Race_Ratio,Native_Ratio,Foreign_Ratio,Origin_Ratio,Europe_Ratio,Asia_Ratio,Africa_Ratio,Oceania_Ratio,Americas_Ratio,Poverty_Ratio,Housing_Ratio,Male_5_Ratio,Male_8_Ratio,Male_11_Ratio,Male_A_Ratio,Male_B_Ratio,Male_G_Ratio,Female_5_Ratio,Female_8_Ratio,Female_11_Ratio,Female_A_Ratio,Female_B_Ratio,Female_G_Ratio,Educated_Sex_Ratio,College_Educated_Ratio
Kansas,2477574,1018604,693960,765010,1214645,1262929,2231986,143076,21965,80547,2414734,62840,13113,23952,1232,511,22046,8029,50541,57821,449426,114653,64739,7302,55079,71441,535920,106363,44622,149694,93581,187686,515292,27291,55223,49591,123716,270217,165921,13300,274623,1044112,0.49,0.51,961.768,0.411,0.28,0.309,446.704,0.901,0.058,0.009,0.033,110.031,0.975,0.025,26.024,0.209,0.381,0.02,0.008,0.351,110.844,2.373,0.011,0.068,0.078,0.603,0.154,0.087,0.009,0.067,0.087,0.653,0.13,0.054,1092.375,840.215
Kentucky,3685296,1276855,633470,1774971,1785235,1900061,3391832,262907,5769,24788,3651177,34119,11961,13253,1007,246,6278,50996,165779,142130,567249,101218,65455,37296,188508,171785,691963,88321,63133,321553,155932,269799,632326,22534,165540,103966,201207,363852,187182,11153,681827,1506845,0.484,0.516,939.567,0.346,0.172,0.482,929.146,0.92,0.071,0.002,0.007,86.521,0.991,0.009,9.345,0.351,0.388,0.03,0.007,0.184,185.013,2.446,0.047,0.152,0.13,0.519,0.093,0.06,0.03,0.152,0.138,0.558,0.071,0.051,1149.192,675.858
Louisiana,4219973,2228018,643741,1348214,2031386,2188587,2839138,1299281,18541,63013,4132566,87407,16323,29750,2215,375,35017,58401,121686,150597,635310,134512,78191,55673,137153,185381,783670,132543,63877,375182,168149,282504,672536,21949,201515,112831,208491,366074,209463,10635,967002,1716241,0.481,0.519,928.172,0.528,0.153,0.319,469.473,0.673,0.308,0.004,0.015,486.357,0.979,0.021,21.151,0.187,0.34,0.025,0.004,0.401,229.149,2.459,0.05,0.103,0.128,0.539,0.114,0.066,0.041,0.101,0.136,0.577,0.098,0.047,1155.749,720.578
Maine,1227928,266732,281092,680104,597850,630078,1208360,5138,5998,8432,1191632,36296,9953,4864,239,191,20189,4382,31354,37127,226491,49800,27701,4164,30253,41051,271439,50988,20863,71406,44415,91822,258086,27854,27941,26090,61944,139647,75209,12957,128466,587045,0.487,0.513,948.851,0.217,0.229,0.554,1241.464,0.984,0.004,0.005,0.007,16.194,0.97,0.03,30.459,0.274,0.134,0.007,0.005,0.556,104.62,2.092,0.012,0.083,0.099,0.601,0.132,0.074,0.01,0.072,0.098,0.648,0.122,0.05,1129.273,813.564
Maryland,4781468,3581461,306968,893039,2318671,2462797,3393964,1189899,12972,184633,4467974,313494,74318,110826,23173,1198,93965,23190,93220,151225,760634,247293,198884,23488,106607,172832,965305,239402,140585,172850,98036,236234,1242222,39386,74283,52723,146531,437011,545779,17730,385296,1891917,0.485,0.515,941.479,0.749,0.064,0.187,229.666,0.71,0.249,0.003,0.039,408.815,0.934,0.066,70.165,0.237,0.354,0.074,0.004,0.3,80.581,2.527,0.016,0.063,0.103,0.516,0.168,0.135,0.014,0.065,0.105,0.586,0.145,0.085,1114.75,817.284
Massachusetts,6016425,4730382,339221,946822,2888745,3127680,5405374,300130,12241,298680,5442692,573733,241703,116608,21557,1593,170598,39960,101950,158411,977265,328442,240575,50598,125435,184084,1245521,328719,181263,300701,146358,299804,1497543,36952,105177,71800,173551,523050,651620,17224,519339,2472711,0.48,0.52,923.606,0.786,0.056,0.157,186.765,0.898,0.05,0.002,0.05,113.045,0.905,0.095,105.413,0.421,0.203,0.038,0.003,0.297,86.32,2.433,0.022,0.055,0.086,0.529,0.178,0.13,0.024,0.059,0.087,0.589,0.155,0.086,1135.306,833.316
Michigan,9295297,5812473,743369,2739455,4512781,4782516,7756086,1291706,55638,191867,8939904,355393,152642,102732,6280,1211,82635,40522,179452,328883,1659325,332514,219035,41491,191428,376450,2011044,305753,156745,533563,293659,562017,2034883,31020,245234,160980,369259,906793,776215,14154,1190698,3847926,0.485,0.515,943.6,0.625,0.08,0.295,417.865,0.834,0.139,0.006,0.021,198.452,0.962,0.038,39.754,0.43,0.289,0.018,0.003,0.233,128.097,2.416,0.015,0.065,0.119,0.601,0.12,0.079,0.013,0.062,0.122,0.652,0.099,0.051,1118.807,801.763
Minnesota,4375099,2370935,685539,1318625,2145183,2229916,4130395,94944,49909,99851,4262060,113039,34988,50032,4783,714,19609,12001,109587,90064,792561,216366,108406,12123,105611,97834,946197,215015,64797,228037,141255,289134,990399,30909,83868,70321,176714,464733,342945,14389,435331,1848445,0.49,0.51,962.002,0.542,0.157,0.301,431.42,0.944,0.022,0.011,0.023,59.245,0.974,0.026,26.522,0.31,0.443,0.042,0.006,0.173,99.502,2.367,0.009,0.082,0.068,0.596,0.163,0.082,0.008,0.073,0.068,0.656,0.149,0.045,1097.264,845.8
Mississippi,2573216,617412,593317,1362487,1230617,1342599,1633461,915057,8525,16173,2552833,20383,5562,9043,665,117,3905,38749,79141,104380,368226,74155,41498,30704,91673,136284,462893,74954,36340,248432,108899,179370,373873,20136,130338,78168,137625,226953,106107,9648,631029,1010423,0.478,0.522,916.593,0.24,0.231,0.529,1125.344,0.635,0.356,0.003,0.006,575.315,0.992,0.008,7.984,0.273,0.444,0.033,0.006,0.192,245.23,2.547,0.055,0.112,0.148,0.521,0.105,0.059,0.037,0.11,0.164,0.556,0.09,0.044,1186.633,687.504
Missouri,5117073,2782738,733271,1601064,2464315,2652758,4486228,548208,19835,62802,5033440,83633,32959,28249,2813,893,15891,25546,147651,164777,881185,199419,116983,23337,184079,209476,1069767,184259,85100,348134,202269,379975,1030986,26362,141248,115726,256260,530684,334102,12989,663075,2199129,0.482,0.518,928.963,0.544,0.143,0.313,455.364,0.877,0.107,0.004,0.012,140.618,0.984,0.016,16.615,0.394,0.338,0.034,0.011,0.19,129.581,2.327,0.017,0.096,0.107,0.574,0.13,0.076,0.013,0.105,0.119,0.609,0.105,0.048,1118.187,770.668
Montana,799065,208883,210943,379239,395769,403296,741111,2381,47679,7894,785286,13779,5909,2317,79,268,4893,2225,20763,19117,150053,35136,18844,2043,16113,22266,174750,36474,10067,60994,37554,66766,141605,22988,25302,21240,46410,84639,36034,11213,124853,361155,0.495,0.505,981.336,0.261,0.264,0.475,903.324,0.927,0.003,0.06,0.01,78.199,0.983,0.017,17.546,0.429,0.168,0.006,0.019,0.355,156.249,2.213,0.009,0.084,0.078,0.61,0.143,0.077,0.008,0.062,0.085,0.668,0.139,0.038,1084.584,837.498
Nebraska,1578385,687875,356109,534401,769439,808946,1480558,57404,12410,28013,1550187,28198,10554,8538,795,221,7364,4532,36003,36458,294567,64850,35920,4166,35224,40903,355534,65322,22570,95602,64661,128454,314141,26016,33410,33491,83885,178561,89124,12452,170616,660621,0.487,0.513,951.162,0.436,0.226,0.339,511.886,0.938,0.036,0.008,0.018,66.074,0.982,0.018,18.19,0.374,0.303,0.028,0.008,0.261,108.095,2.389,0.01,0.076,0.077,0.624,0.137,0.076,0.008,0.067,0.078,0.679,0.125,0.043,1121.641,842.09
Nevada,1201833,911095,150349,140389,611880,589953,1012695,78771,19637,90730,1097005,104828,19452,25914,1482,840,53736,6278,17654,38290,266857,45512,25426,5907,17932,42487,273593,34181,15521,54687,40968,87331,284527,31011,21741,20739,52100,126592,90235,15214,119660,518858,0.509,0.491,1037.167,0.758,0.125,0.117,132.262,0.843,0.066,0.016,0.075,186.767,0.913,0.087,95.558,0.186,0.247,0.014,0.008,0.513,99.565,2.316,0.016,0.044,0.096,0.667,0.114,0.064,0.015,0.046,0.109,0.702,0.088,0.04,957.075,837.206
New Hampshire,1109252,339454,226216,543582,543544,565708,1087433,7198,2134,12487,1068059,41193,15114,6927,546,298,17152,2576,20965,29832,195664,60707,33545,2509,21641,31839,234927,56553,23136,41255,27574,61818,280740,36329,13609,14067,38214,119369,109279,15959,69104,503904,0.49,0.51,960.821,0.306,0.204,0.49,960.952,0.98,0.006,0.002,0.011,20.065,0.963,0.037,38.568,0.367,0.168,0.013,0.007,0.416,62.298,2.201,0.008,0.061,0.087,0.57,0.177,0.098,0.007,0.058,0.086,0.634,0.153,0.062,1085.197,846.809
New Jersey,7730188,6629540,280680,819968,3735685,3994503,6130465,1036825,14970,547928,6763578,966610,340986,216106,25222,2045,340325,52436,158393,231756,1273353,429285,277937,65766,209615,271543,1619354,397602,179193,287121,165511,351059,1990625,40927,111639,83084,218106,662151,962807,18714,573152,3075310,0.483,0.517,935.206,0.858,0.036,0.106,118.66,0.793,0.134,0.002,0.071,260.946,0.875,0.125,142.914,0.353,0.224,0.026,0.002,0.352,74.145,2.514,0.022,0.065,0.096,0.525,0.177,0.115,0.024,0.076,0.099,0.59,0.145,0.065,1108.844,808.466
