STATE,Total_Population,Urban,Suburban,Rural,Male,Female,W,AA,AI,APAC,Native,Foreign,Europe,Asia,Africa,Oceania,Americas,Male_5,Male_8,Male_11,Male_A,Male_B,Male_G,Female_5,Female_8,Female_11,Female_A,Female_B,Female_G,Household_1,Household_2,Household_3,Household_4,MedianIncome,Family_1,Family_2,Family_3,Family_4,Family_5,PerCapitaIncome,Poverty,HousingUnits,Male_Ratio,Female_Ratio,Sex_Ratio,Urban_Ratio,Suburban_Ratio,Rural_Ratio,Location_Ratio,W_Ratio,AA_Ratio,AI_Ratio,APAC_Ratio,Race_Ratio,Native_Ratio,Foreign_Ratio,Origin_Ratio,Europe_Ratio,Asia_Ratio,Africa_Ratio,Oceania_Ratio,Americas_Ratio,Poverty_Ratio,Housing_Ratio,Male_5_Ratio,Male_8_Ratio,Male_11_Ratio,Male_A_Ratio,Male_B_Ratio,Male_G_Ratio,Female_5_Ratio,Female_8_Ratio,Female_11_Ratio,Female_A_Ratio,Female_B_Ratio,Female_G_Ratio,Educated_Sex_Ratio,College_Educated_Ratio
Georgia,4589575,1880160,887914,1821501,2230696,2358879,3391242,1187149,2347,8837,4556581,32988,19662,4302,458,291,7151,143679,271935,226258,332921,72939,51454,117558,320514,319231,406717,69830,22774,921445,269574,139468,38738,15033,713881,261507,136721,30860,6802,6402,924262,1470557,0.486,0.514,945.659,0.41,0.193,0.397,658.039,0.739,0.259,0.001,0.002,353.361,0.993,0.007,7.24,0.596,0.13,0.014,0.009,0.217,201.383,3.121,0.131,0.247,0.206,0.303,0.066,0.047,0.094,0.255,0.254,0.324,0.056,0.018,1091.856,406.075
Hawaii,768561,442397,196286,129878,399205,369356,298160,7573,1126,461702,692964,75595,5595,61524,135,3375,2760,18449,31185,26317,89864,17156,14184,13631,32071,25048,94531,12501,9906,98550,47548,43212,13778,20473,70471,44688,42265,11786,1519,7740,68543,216085,0.519,0.481,1080.814,0.576,0.255,0.169,203.353,0.388,0.01,0.001,0.601,1577.68,0.902,0.098,109.089,0.074,0.814,0.002,0.045,0.037,89.184,3.557,0.094,0.158,0.133,0.456,0.087,0.072,0.073,0.171,0.133,0.504,0.067,0.053,964.803,618.803
Idaho,712567,85187,300247,327133,355750,356817,698802,2130,6687,4948,699995,12572,7440,894,59,80,3754,5015,40511,31745,81443,12357,10239,3515,31592,37153,101190,10469,3683,149851,44956,18906,5247,15285,112210,43642,18519,4249,828,6248,91578,244695,0.499,0.501,997.01,0.12,0.421,0.459,848.739,0.981,0.003,0.009,0.007,19.698,0.982,0.018,17.96,0.592,0.071,0.005,0.006,0.299,128.518,2.912,0.028,0.223,0.175,0.449,0.068,0.056,0.019,0.168,0.198,0.539,0.056,0.02,1108.642,594.67
Illinois,11113976,7873782,1356039,1884155,5391836,5722140,9600381,1425674,11413,76508,10480552,628898,454446,40449,2769,1693,108236,122408,704752,525970,1139331,196063,186321,126989,784664,621155,1436234,167391,78050,1849159,896038,587570,168124,19321,1211196,845811,574299,136685,26203,8066,1112145,3703367,0.485,0.515,942.276,0.708,0.122,0.17,204.138,0.864,0.128,0.001,0.007,157.66,0.943,0.057,60.006,0.723,0.064,0.004,0.003,0.172,100.067,3.001,0.043,0.245,0.183,0.396,0.068,0.065,0.04,0.244,0.193,0.447,0.052,0.024,1105.118,526.066
Indiana,5193669,2395133,976927,1821609,2531170,2662499,4820324,357464,3887,11994,5110467,83198,58910,6397,608,523,13866,49082,313315,250553,553227,66467,69943,39058,328075,312154,672274,56352,35914,933634,415920,212252,47637,17582,663859,401727,209511,39974,6603,7142,493379,1730099,0.487,0.513,950.675,0.461,0.188,0.351,540.207,0.928,0.069,0.001,0.002,77.452,0.984,0.016,16.28,0.708,0.077,0.007,0.006,0.167,94.996,3.002,0.038,0.241,0.192,0.425,0.051,0.054,0.027,0.227,0.216,0.466,0.039,0.025,1108.612,529.482
Iowa,2824376,842154,774251,1207971,1372867,1451509,2782762,32596,2992,6026,2784159,40217,30492,2880,525,343,4762,16083,197991,107335,326746,39786,39581,12536,174722,123699,441357,44249,16503,580794,196645,93350,25522,16799,410242,190896,91734,21061,3843,7136,318605,964060,0.486,0.514,945.821,0.298,0.274,0.428,747.32,0.985,0.012,0.001,0.002,14.954,0.986,0.014,14.445,0.758,0.072,0.013,0.009,0.118,112.805,2.93,0.022,0.272,0.148,0.449,0.055,0.054,0.015,0.215,0.152,0.543,0.054,0.02,1236.378,589.529
Kansas,2246578,785933,698937,761708,1101573,1145005,2122068,106977,8672,8861,2218736,27842,16253,3713,341,264,6323,15686,138139,87457,258489,40753,40256,12597,131958,106261,335922,40013,18457,485695,147581,72276,21812,16362,346177,143390,70914,17707,3661,7350,275497,789196,0.49,0.51,962.068,0.35,0.311,0.339,512.98,0.945,0.048,0.004,0.004,58.674,0.988,0.012,12.549,0.584,0.133,0.012,0.009,0.227,122.63,2.847,0.027,0.238,0.151,0.445,0.07,0.069,0.02,0.205,0.165,0.521,0.062,0.029,1161.692,598.611
Kentucky,3218706,1120873,563180,1534653,1579036,1639670,2981766,230793,1531,4616,3202144,16553,10277,2431,153,232,2874,93917,290376,121585,233337,36296,33484,66372,317632,163314,303222,36479,17284,710409,175927,76743,20586,13965,557178,172466,75649,16317,3612,5978,718313,1064451,0.491,0.509,963.021,0.348,0.175,0.477,911.285,0.926,0.072,0.0,0.001,79.463,0.995,0.005,5.169,0.621,0.147,0.009,0.014,0.174,223.168,3.024,0.116,0.359,0.15,0.288,0.045,0.041,0.073,0.351,0.181,0.335,0.04,0.019,1177.714,385.281
Louisiana,3641306,1703126,703024,1235156,1771484,1869822,2541498,1086832,5294,7682,3600900,39542,15586,2975,341,236,18239,124179,217189,145050,266405,49709,43527,113170,243861,203102,333166,49770,20786,750794,187062,87760,26479,15227,579200,181927,86253,20020,5372,6430,932671,1150235,0.486,0.514,947.408,0.468,0.193,0.339,513.333,0.698,0.298,0.001,0.002,432.74,0.989,0.011,10.981,0.394,0.075,0.009,0.006,0.461,256.136,3.166,0.147,0.257,0.171,0.315,0.059,0.051,0.117,0.253,0.211,0.346,0.052,0.022,1122.569,421.768
Maine,992048,171811,332346,487891,482865,509183,985276,2800,2195,1777,950649,43014,9522,910,94,221,31575,8585,63737,49321,105756,15076,10775,6615,57888,57386,143554,14294,4836,214671,60206,22809,5237,13816,161082,59339,22708,4359,666,5768,131271,397169,0.487,0.513,948.313,0.173,0.335,0.492,967.736,0.993,0.003,0.002,0.002,6.873,0.958,0.043,45.247,0.221,0.021,0.002,0.005,0.734,132.323,2.498,0.034,0.252,0.195,0.418,0.06,0.043,0.023,0.203,0.202,0.504,0.05,0.017,1236.135,547.189
Maryland,3922399,2588919,415016,918464,1916321,2006078,3194888,699479,4239,23793,3798046,124345,78271,15743,1915,1223,23101,50675,233108,188585,336476,82570,100570,43245,243330,233843,463049,70668,36430,594378,292676,218670,69003,20281,420446,274698,211727,58375,8897,8293,386579,1249177,0.489,0.511,955.257,0.66,0.106,0.234,305.754,0.815,0.178,0.001,0.006,227.711,0.968,0.032,32.739,0.629,0.127,0.015,0.01,0.186,98.557,3.14,0.051,0.235,0.19,0.339,0.083,0.101,0.04,0.223,0.214,0.425,0.065,0.033,1097.247,523.283
Massachusetts,5689170,4334196,476253,878721,2719398,2969772,5477624,175817,4475,31254,5194243,494660,303756,23681,2600,16102,131810,57567,279832,280836,588340,113160,126603,71894,303041,312175,854308,101380,53327,948273,451749,278244,81426,17575,611029,429653,271951,65797,12552,7458,473200,1890400,0.478,0.522,915.693,0.762,0.084,0.154,182.669,0.963,0.031,0.001,0.005,38.62,0.913,0.087,95.232,0.614,0.048,0.005,0.033,0.266,83.176,3.01,0.04,0.193,0.194,0.407,0.078,0.088,0.042,0.179,0.184,0.504,0.06,0.031,1218.466,584.611
Michigan,8875083,5658843,894930,2321310,4348648,4526435,7833474,991066,16854,33689,8450759,424309,276233,25783,1866,1346,107313,90486,507686,478243,868572,124012,134980,82748,475015,536237,1122559,110829,63094,1357098,701592,475461,118904,19223,937760,668305,467648,98841,17715,7688,819438,2954570,0.49,0.51,960.723,0.638,0.101,0.262,354.194,0.883,0.112,0.002,0.004,132.969,0.952,0.048,50.21,0.651,0.061,0.004,0.003,0.253,92.33,3.004,0.041,0.23,0.217,0.394,0.056,0.061,0.035,0.199,0.224,0.47,0.046,0.026,1149.808,527.602
Minnesota,3804971,1901834,625474,1277663,1863810,1941161,3736038,34868,23128,10937,3706915,98056,73663,5295,684,719,13173,25003,279133,132177,388818,65392,66728,22046,239883,145823,536552,65762,23050,683985,279686,149432,40843,17761,465248,269105,147028,33541,6410,7451,397662,1276198,0.49,0.51,960.152,0.5,0.164,0.336,505.543,0.982,0.009,0.006,0.003,18.451,0.974,0.026,26.452,0.751,0.054,0.007,0.007,0.134,104.511,2.981,0.026,0.292,0.138,0.406,0.068,0.07,0.021,0.232,0.141,0.519,0.064,0.022,1200.458,575.925
Mississippi,2216912,320592,666050,1230270,1074217,1142695,1393283,815770,4113,3746,2208725,8125,4449,1612,84,105,1628,79955,136093,92052,159403,29334,19460,57845,156198,134055,206625,30525,10244,502907,88889,34844,10127,12096,402627,87521,34470,7862,1964,5183,766605,699150,0.485,0.515,940.073,0.145,0.3,0.555,1246.926,0.628,0.368,0.002,0.002,591.143,0.996,0.004,3.679,0.548,0.198,0.01,0.013,0.2,345.799,3.171,0.155,0.264,0.178,0.309,0.057,0.038,0.097,0.262,0.225,0.347,0.051,0.017,1188.269,409.782
Missouri,4676501,2576558,701104,1398839,2255952,2420549,4177495,480172,5405,13429,4610751,65744,46212,6832,611,382,8409,61666,363650,198399,450909,70069,67390,50861,403835,253974,585520,64213,31793,990168,318957,165170,46272,15581,692071,306207,161583,36154,8736,6917,672092,1673361,0.482,0.518,932.0,0.551,0.15,0.299,426.78,0.893,0.103,0.001,0.003,119.451,0.986,0.014,14.259,0.703,0.104,0.009,0.006,0.128,143.717,2.795,0.051,0.3,0.164,0.372,0.058,0.056,0.037,0.29,0.183,0.421,0.046,0.023,1158.333,487.993
Montana,694409,142102,228574,323733,347005,347404,663043,1995,27130,2241,674775,19634,13976,696,53,115,4433,5839,47033,27080,77235,12123,10782,4163,34523,30121,98378,13152,4079,149626,43815,18682,5181,15420,105737,42564,18440,4159,912,6589,91669,246603,0.5,0.5,998.851,0.205,0.329,0.466,873.358,0.955,0.003,0.039,0.003,47.306,0.972,0.028,29.097,0.712,0.035,0.003,0.006,0.226,132.01,2.816,0.032,0.261,0.15,0.429,0.067,0.06,0.023,0.187,0.163,0.533,0.071,0.022,1154.474,591.891
Nebraska,1483493,588292,324306,570895,724455,759038,1432867,39911,6624,4091,1453616,28796,22197,1729,83,159,3314,10723,97897,59085,170386,22319,22783,8714,86468,64886,228821,23748,8793,320876,95085,44857,12489,15925,226926,91342,43841,10065,1986,6936,188235,515069,0.488,0.512,954.438,0.397,0.219,0.385,625.571,0.966,0.027,0.004,0.003,35.332,0.98,0.019,19.81,0.771,0.06,0.003,0.006,0.115,126.886,2.88,0.028,0.255,0.154,0.445,0.058,0.059,0.021,0.205,0.154,0.543,0.056,0.021,1212.884,592.638
Nevada,488738,336368,58968,93402,247798,240940,448177,27762,7933,4866,470559,18179,9637,2077,58,291,5580,3135,19803,24979,69485,9251,8363,2342,14867,27094,74792,7420,3558,87484,39983,25907,6678,18211,56362,36518,24926,5441,923,8453,43478,172558,0.507,0.493,1028.464,0.688,0.121,0.191,236.26,0.917,0.057,0.016,0.01,90.502,0.963,0.037,38.633,0.53,0.114,0.003,0.016,0.307,88.96,2.832,0.023,0.147,0.185,0.515,0.069,0.062,0.018,0.114,0.208,0.575,0.057,0.027,984.742,652.117
New Hampshire,737681,173943,242097,321641,360672,377009,733106,2505,361,1709,700633,37048,13445,1009,120,180,21616,4722,44691,33551,79845,14345,10988,4698,43765,37282,105974,13131,4689,135738,57194,26137,6309,17013,96160,55575,25928,5038,1124,6966,64807,280962,0.489,0.511,956.667,0.236,0.328,0.436,773.101,0.994,0.003,0.0,0.002,6.241,0.95,0.05,52.878,0.363,0.027,0.003,0.005,0.583,87.852,2.626,0.025,0.238,0.178,0.424,0.076,0.058,0.022,0.209,0.178,0.506,0.063,0.022,1176.995,575.768
New Jersey,7168164,6078372,295033,794759,3467373,3700791,6349908,770292,4706,43258,6533325,634818,467235,27569,3154,2000,113248,88067,440047,366055,697706,163081,145431,104476,503465,423388,953276,119781,51833,1085358,579952,420453,132419,19800,743272,552690,413366,110045,19436,8127,573674,2388011,0.484,0.516,936.928,0.848,0.041,0.111,124.699,0.886,0.107,0.001,0.006,128.861,0.911,0.089,97.166,0.736,0.043,0.005,0.003,0.178,80.031,3.002,0.046,0.232,0.193,0.367,0.086,0.077,0.048,0.233,0.196,0.442,0.056,0.024,1117.939,525.343
New Mexico,1016000,297451,403339,315210,500824,515176,915815,19555,72788,7842,993488,22510,6920,1279,108,148,13269,22133,45542,37121,94174,17465,19681,21431,46274,46707,113891,15690,9514,199271,53137,29333,7648,14654,155926,50875,28523,6235,1181,6119,227120,325722,0.493,0.507,972.142,0.293,0.397,0.31,449.792,0.901,0.019,0.072,0.008,109.394,0.978,0.022,22.658,0.307,0.057,0.005,0.007,0.589,223.543,3.119,0.094,0.193,0.157,0.399,0.074,0.083,0.085,0.183,0.184,0.449,0.062,0.038,1059.207,552.292
New York,18236967,14267804,1334682,2634481,8715339,9521628,15834090,2168949,28355,205573,16127106,2109776,1438531,133114,16861,6785,446973,240421,1081958,948185,1807591,348201,391305,309559,1274783,1077553,2439970,301806,197223,3267597,1370309,944679,331164,16647,2120063,1268639,907418,256207,57311,7498,1985954,6298663,0.478,0.522,915.32,0.782,0.073,0.144,168.85,0.868,0.119,0.002,0.011,151.753,0.884,0.116,130.822,0.682,0.063,0.008,0.003,0.212,108.897,2.895,0.05,0.225,0.197,0.375,0.072,0.081,0.055,0.228,0.192,0.436,0.054,0.035,1153.862,526.57
North Carolina,5082059,1210551,1072736,2798772,2488367,2593692,3901767,1126478,44406,9408,5053416,28620,17055,4567,523,404,5032,150667,352164,276080,341824,69255,51507,113864,366538,369009,452500,77353,25511,1064852,292409,118377,33926,14481,856128,287385,116154,26430,6369,6133,996309,1641222,0.49,0.51,959.392,0.238,0.211,0.551,1225.764,0.768,0.222,0.009,0.002,302.502,0.994,0.006,5.663,0.596,0.16,0.018,0.014,0.176,196.044,3.097,0.121,0.284,0.222,0.275,0.056,0.041,0.081,0.261,0.263,0.322,0.055,0.018,1200.564,384.673
North Dakota,617761,53420,220022,344319,311609,306152,599485,2494,14369,1413,599324,18437,14224,728,5,22,2979,6841,61884,17031,56268,8311,7851,6207,48066,18122,77218,8176,2364,129487,32599,15044,4483,15293,97458,31752,14629,3765,631,6417,93086,204222,0.504,0.496,1017.824,0.086,0.356,0.557,1259.203,0.97,0.004,0.023,0.002,30.486,0.97,0.03,30.763,0.771,0.039,0.0,0.001,0.162,150.683,3.025,0.043,0.391,0.108,0.356,0.053,0.05,0.039,0.3,0.113,0.482,0.051,0.015,1211.625,503.199
Ohio,10652017,6642374,1383401,2626242,5163373,5488644,9646997,970477,6654,27889,10334407,316496,251739,19834,1639,1174,28734,101867,606895,572143,1086743,158755,162233,95383,633888,655661,1419551,142731,64467,1838573,859561,473802,117496,17754,1283354,827029,466606,94598,19543,7285,1041348,3465356,0.485,0.515,940.737,0.624,0.13,0.247,327.226,0.906,0.091,0.001,0.003,104.18,0.97,0.03,30.625,0.795,0.063,0.005,0.004,0.091,97.761,3.074,0.038,0.226,0.213,0.404,0.059,0.06,0.032,0.21,0.218,0.471,0.047,0.021,1155.582,532.335
Oklahoma,2559229,1049072,691065,819092,1246355,1312874,2280362,171892,98468,8507,2539015,20160,11395,3521,212,215,4073,45471,163851,114317,259465,43670,40565,34060,176196,154842,331823,38222,20087,611250,148346,70572,20635,14750,446951,143731,68862,15411,4301,6858,464931,939681,0.487,0.513,949.333,0.41,0.27,0.32,470.705,0.891,0.067,0.038,0.003,122.291,0.992,0.008,7.94,0.565,0.175,0.011,0.011,0.202,181.668,2.724,0.068,0.246,0.171,0.389,0.065,0.061,0.045,0.233,0.205,0.439,0.051,0.027,1135.095,515.85
Oregon,2091385,984052,418652,688681,1023952,1067433,2032079,26308,13510,19488,2025236,66149,37719,7348,516,1032,16539,15611,120174,99086,241386,38208,42365,11337,101418,114331,316509,35903,19696,431927,159843,78360,21501,16780,292226,152677,76859,16856,3865,7557,234848,744616,0.49,0.51,959.266,0.471,0.2,0.329,490.967,0.972,0.013,0.006,0.009,29.185,0.968,0.032,32.662,0.57,0.111,0.008,0.016,0.25,112.293,2.809,0.028,0.216,0.178,0.434,0.069,0.076,0.019,0.169,0.191,0.528,0.06,0.033,1155.762,600.392
Pennsylvania,11793909,6921979,1508431,3363499,5665414,6128495,10737732,1016514,5533,34130,11347969,445895,374220,21177,2018,1402,27817,133755,796769,637336,1182555,187471,174905,144599,876920,739905,1592809,151242,71672,2261968,879164,442220,122058,16880,1610453,848781,434007,96779,21110,7077,1227794,3924757,0.48,0.52,924.438,0.587,0.128,0.285,398.972,0.91,0.086,0.0,0.003,98.361,0.962,0.038,39.293,0.839,0.047,0.005,0.003,0.062,104.104,3.005,0.043,0.256,0.205,0.38,0.06,0.056,0.04,0.245,0.207,0.445,0.042,0.02,1175.278,502.345
Rhode Island,946725,745238,79692,121795,464291,482434,914757,25338,1390,5240,874470,74374,50585,3569,300,3190,13770,13140,60617,57518,82368,15508,14676,15175,69108,65531,111426,12802,6213,176050,70896,35718,9924,16097,123277,68772,35052,7670,1896,6897,99997,316477,0.49,0.51,962.393,0.787,0.084,0.129,147.643,0.966,0.027,0.001,0.006,34.947,0.924,0.079,85.05,0.68,0.048,0.004,0.043,0.185,105.624,2.991,0.054,0.249,0.236,0.338,0.064,0.06,0.054,0.247,0.234,0.398,0.046,0.022,1158.94,463.655
South Carolina,2590516,649436,582759,1358321,1272087,1318429,1794430,789041,2241,4804,2576145,14364,8728,2151,162,270,2615,84884,157510,130113,167136,37609,23509,70878,175355,179816,203026,42481,11520,523805,140214,56729,13650,14711,420545,138573,56213,10989,2369,5886,594938,815123,0.491,0.509,964.851,0.251,0.225,0.524,1102.359,0.693,0.305,0.001,0.002,443.643,0.994,0.006,5.576,0.608,0.15,0.011,0.019,0.182,229.66,3.178,0.141,0.262,0.217,0.278,0.063,0.039,0.104,0.257,0.263,0.297,0.062,0.017,1126.057,377.993
South Dakota,665507,76006,220622,368879,330033,335474,630333,1627,32365,1182,654608,10899,8814,586,69,20,1050,5056,62464,21021,63989,8862,8481,4253,46587,23708,92376,9785,2915,148279,33531,14410,4587,13156,110387,32828,14221,3736,769,5697,119543,225253,0.496,0.504,983.781,0.114,0.332,0.554,1243.574,0.947,0.002,0.049,0.002,55.802,0.984,0.016,16.65,0.809,0.054,0.006,0.002,0.096,179.627,2.954,0.03,0.368,0.124,0.377,0.052,0.05,0.024,0.259,0.132,0.514,0.054,0.016,1291.939,533.361
Tennessee,3923687,1488624,816683,1618380,1897674,2026013,3293930,621261,2276,6220,3904702,19024,10955,3437,220,236,3493,115735,303857,165172,310357,53987,43468,86829,344443,223478,410093,51081,19446,877041,214317,94691,26912,14142,696261,209482,92668,21181,4854,6213,836405,1300908,0.484,0.516,936.654,0.379,0.208,0.412,702.024,0.839,0.158,0.001,0.002,191.187,0.995,0.005,4.872,0.576,0.181,0.012,0.012,0.184,213.168,3.016,0.117,0.306,0.166,0.313,0.054,0.044,0.076,0.303,0.197,0.361,0.045,0.017,1178.533,417.507
Texas,11196730,6917345,2003601,2275784,5481169,5715561,9717128,1399005,17957,62640,10885644,309772,62887,17800,1359,1251,218207,278012,596756,560879,945994,199485,178243,262731,620914,741344,1178049,172571,82177,2265215,687787,368325,112246,16708,1691402,660364,358885,88028,19444,7205,2046593,3829502,0.49,0.51,958.991,0.618,0.179,0.203,255.106,0.868,0.125,0.002,0.006,152.267,0.972,0.028,28.457,0.203,0.057,0.004,0.004,0.704,182.785,2.924,0.101,0.216,0.203,0.343,0.072,0.065,0.086,0.203,0.242,0.385,0.056,0.027,1082.4,473.86
Utah,1059273,733179,118293,207801,523265,536008,1031926,6617,11273,9457,1029700,29573,19196,2536,204,604,4773,5203,28698,44450,116142,20478,24012,4785,28096,49966,146169,17056,7282,183926,70864,34900,8244,17671,138218,69116,34253,6733,1421,6305,118349,315765,0.494,0.506,976.226,0.692,0.112,0.196,244.049,0.974,0.006,0.011,0.009,26.501,0.972,0.028,28.72,0.649,0.086,0.007,0.02,0.161,111.727,3.355,0.022,0.12,0.186,0.486,0.086,0.1,0.019,0.111,0.197,0.577,0.067,0.029,1061.476,672.586
