STATE,Total_Population,Urban,Suburban,Rural,Male,Female,W,AA,AI,APAC,Native,Foreign,Europe,Asia,Africa,Oceania,Americas,Male_5,Male_8,Male_11,Male_A,Male_B,Male_G,Female_5,Female_8,Female_11,Female_A,Female_B,Female_G,Household_1,Household_2,Household_3,Household_4,MedianIncome,Family_1,Family_2,Family_3,Family_4,Family_5,PerCapitaIncome,Poverty,HousingUnits,Male_Ratio,Female_Ratio,Sex_Ratio,Urban_Ratio,Suburban_Ratio,Rural_Ratio,Location_Ratio,W_Ratio,AA_Ratio,AI_Ratio,APAC_Ratio,Race_Ratio,Native_Ratio,Foreign_Ratio,Origin_Ratio,Europe_Ratio,Asia_Ratio,Africa_Ratio,Oceania_Ratio,Americas_Ratio,Poverty_Ratio,Housing_Ratio,Male_5_Ratio,Male_8_Ratio,Male_11_Ratio,Male_A_Ratio,Male_B_Ratio,Male_G_Ratio,Female_5_Ratio,Female_8_Ratio,Female_11_Ratio,Female_A_Ratio,Female_B_Ratio,Female_G_Ratio,Educated_Sex_Ratio,College_Educated_Ratio
Alabama,3444165,1280325,731616,1432224,1661941,1782224,2533831,903467,2443,4424,3428160,15988,10068,2196,231,188,2919,105448,218186,166454,268356,47830,32837,88516,253570,230132,336200,45118,16151,754749,179400,78984,20980,13669,601654,175084,77663,16296,3962,5894,857248,1120220,0.483,0.517,932.51,0.372,0.212,0.416,711.862,0.736,0.262,0.001,0.001,359.272,0.995,0.005,4.664,0.63,0.137,0.014,0.012,0.183,248.899,3.075,0.126,0.26,0.198,0.32,0.057,0.039,0.091,0.261,0.237,0.347,0.047,0.017,1138.805,412.701
Alaska,300382,0,145512,154870,163258,137124,236767,8911,16276,38428,292619,7763,3717,1553,41,99,1952,4386,9716,10858,37513,5612,5878,3574,7166,9294,33359,4872,2720,33944,19010,19586,6519,25414,25119,16368,18808,5825,550,10193,35411,90729,0.544,0.456,1190.587,0.0,0.484,0.516,1064.311,0.788,0.03,0.054,0.128,268.682,0.974,0.026,26.529,0.479,0.2,0.005,0.013,0.251,117.887,3.311,0.059,0.131,0.147,0.507,0.076,0.079,0.059,0.118,0.152,0.547,0.08,0.045,835.684,666.583
Arizona,1770900,1157541,251323,362036,871006,899894,1604948,53344,95812,16796,1694323,76570,27249,4449,253,303,41134,28299,86432,70481,185305,32483,35754,27344,85268,86049,231539,28582,18201,336155,118878,65799,18325,16448,243651,113236,63877,14598,3027,7041,264430,584171,0.492,0.508,967.898,0.654,0.142,0.204,256.97,0.906,0.03,0.054,0.009,103.4,0.957,0.043,45.192,0.356,0.058,0.003,0.004,0.537,149.32,3.031,0.064,0.197,0.161,0.422,0.074,0.081,0.057,0.179,0.18,0.485,0.06,0.038,1097.735,580.804
Arkansas,1923295,378624,582241,962430,932310,990985,1565915,352445,2014,2921,1914953,8287,5351,1316,29,93,1236,64720,149789,86912,156251,21762,17919,46111,163950,123667,195734,22234,8463,490463,83313,31912,9736,12214,382682,81844,31336,7528,1805,5614,522969,675611,0.485,0.515,940.791,0.197,0.303,0.5,1001.629,0.814,0.183,0.001,0.002,228.224,0.996,0.004,4.328,0.646,0.159,0.003,0.011,0.149,271.913,2.847,0.13,0.301,0.175,0.314,0.044,0.036,0.082,0.293,0.221,0.349,0.04,0.015,1155.661,399.393
California,19953134,16147770,1988275,1817089,9816685,10136449,17761032,1400143,91018,700941,18199314,1757990,685178,275540,12181,28859,710131,237697,813875,881027,2384657,413524,474422,234248,864692,1030828,2966693,342526,231794,3634228,1540809,1073736,322832,18243,2267812,1398973,1029394,257628,47448,8295,2152716,6996990,0.492,0.508,968.454,0.809,0.1,0.091,100.192,0.89,0.07,0.005,0.035,123.422,0.912,0.088,96.596,0.39,0.157,0.007,0.016,0.404,107.889,2.852,0.046,0.156,0.169,0.458,0.079,0.091,0.041,0.152,0.182,0.523,0.06,0.041,1082.017,626.483
Colorado,2207259,1424011,309300,473948,1089377,1117882,2112352,66411,8836,19660,2146948,60311,39117,5647,409,431,12488,19062,99546,84363,243063,49223,51693,16698,92727,99441,315912,47577,21833,422997,156861,86536,24534,18056,290481,148745,84390,19895,3654,7998,263224,757070,0.494,0.506,974.501,0.645,0.14,0.215,273.435,0.957,0.03,0.004,0.009,44.93,0.973,0.027,28.092,0.649,0.094,0.007,0.007,0.207,119.254,2.916,0.035,0.182,0.154,0.444,0.09,0.095,0.028,0.156,0.167,0.532,0.08,0.037,1120.19,639.1
Connecticut,3031709,2101658,243394,686657,1470487,1561222,2835458,181177,2222,12852,2770091,261614,190783,7991,1212,1484,48595,32871,180464,146065,295126,72800,68075,39140,187230,155060,419339,58806,30622,429381,258676,181170,63823,20077,283170,245575,176993,50653,11260,8511,212185,981158,0.485,0.515,941.882,0.693,0.08,0.226,292.811,0.935,0.06,0.001,0.004,69.213,0.914,0.086,94.442,0.729,0.031,0.005,0.006,0.186,69.989,3.09,0.041,0.227,0.184,0.371,0.092,0.086,0.044,0.21,0.174,0.471,0.066,0.034,1166.894,560.494
Delaware,548104,349674,45895,152535,267332,280772,466459,78276,656,2713,532445,15648,10829,1812,43,137,2054,5891,28201,28774,50078,11513,12164,4795,27994,34808,69224,9957,3996,91799,41634,24029,7342,17846,66411,39889,23430,6048,1137,7449,58155,180233,0.488,0.512,952.132,0.638,0.084,0.278,385.609,0.851,0.143,0.001,0.005,175.031,0.971,0.029,29.389,0.692,0.116,0.003,0.009,0.131,106.102,3.041,0.043,0.206,0.211,0.367,0.084,0.089,0.032,0.186,0.231,0.459,0.066,0.027,1127.747,546.05
District Of Columbia,756510,756510,0,0,351491,405019,209272,537712,956,8570,722930,33562,14171,5672,1968,500,10124,12599,37266,38235,62326,14542,26230,9934,41584,50102,95772,19622,14839,165062,48354,34014,15108,16211,85451,37005,27924,10752,2350,8960,123109,278444,0.465,0.535,867.838,1.0,0.0,0.0,0.0,0.277,0.711,0.001,0.011,2614.96,0.956,0.044,46.425,0.422,0.169,0.059,0.015,0.302,162.733,2.717,0.066,0.195,0.2,0.326,0.076,0.137,0.043,0.179,0.216,0.413,0.085,0.064,1263.196,551.543
Florida,6789443,4133783,1334354,1321306,3275571,3513872,5719343,1041651,6677,21772,6249099,540284,220590,15006,1578,7099,281091,128187,417938,340512,721102,132950,107410,106684,451304,437912,956978,117572,49332,1546905,421408,233057,83412,14675,1107363,399625,225035,63255,16089,7270,1088225,2526612,0.482,0.518,932.183,0.609,0.197,0.195,241.637,0.842,0.153,0.001,0.003,187.102,0.92,0.08,86.458,0.408,0.028,0.003,0.013,0.52,160.282,2.687,0.069,0.226,0.184,0.39,0.072,0.058,0.05,0.213,0.207,0.451,0.055,0.023,1168.93,525.556
