STATE,Total_Population,Urban,Suburban,Rural,Male,Female,W,AA,AI,APAC,Native,Foreign,Europe,Asia,Africa,Oceania,Americas,Male_5,Male_8,Male_11,Male_A,Male_B,Male_G,Female_5,Female_8,Female_11,Female_A,Female_B,Female_G,Household_1,Household_2,Household_3,Household_4,MedianIncome,Family_1,Family_2,Family_3,Family_4,Family_5,PerCapitaIncome,Poverty,HousingUnits,Male_Ratio,Female_Ratio,Sex_Ratio,Urban_Ratio,Suburban_Ratio,Rural_Ratio,Location_Ratio,W_Ratio,AA_Ratio,AI_Ratio,APAC_Ratio,Race_Ratio,Native_Ratio,Foreign_Ratio,Origin_Ratio,Europe_Ratio,Asia_Ratio,Africa_Ratio,Oceania_Ratio,Americas_Ratio,Poverty_Ratio,Housing_Ratio,Male_5_Ratio,Male_8_Ratio,Male_11_Ratio,Male_A_Ratio,Male_B_Ratio,Male_G_Ratio,Female_5_Ratio,Female_8_Ratio,Female_11_Ratio,Female_A_Ratio,Female_B_Ratio,Female_G_Ratio,Educated_Sex_Ratio,College_Educated_Ratio
Minnesota,4075970,2053939,671263,1350768,1997826,2078144,3942025,52325,36730,32226,3968496,107474,52018,27457,2852,648,18046,15215,189296,112218,569085,117767,117680,13802,173541,128076,737187,116734,55100,391293,214205,400071,441741,17761,179386,143008,321119,341302,58717,7451,374956,1612960,0.49,0.51,961.351,0.504,0.165,0.331,495.658,0.967,0.013,0.009,0.008,30.766,0.974,0.026,27.082,0.484,0.255,0.027,0.006,0.168,91.992,2.527,0.014,0.169,0.1,0.508,0.105,0.105,0.011,0.142,0.105,0.602,0.095,0.045,1129.876,730.508
Mississippi,2520638,588750,604055,1327833,1213878,1306760,1615632,887111,6914,7749,2497111,23527,7821,6325,510,87,3649,59135,121976,102861,255780,49720,40566,42735,144929,146989,325301,48591,29209,349017,139507,194771,145094,12096,215688,115658,177408,118010,18689,5183,587450,911627,0.482,0.518,928.922,0.234,0.24,0.527,1113.202,0.641,0.352,0.003,0.003,558.156,0.991,0.009,9.422,0.332,0.269,0.022,0.004,0.155,233.056,2.765,0.094,0.194,0.163,0.406,0.079,0.064,0.058,0.196,0.199,0.441,0.066,0.04,1164.81,547.72
Missouri,4916686,2620119,729469,1567098,2365487,2551199,4348412,513385,14971,24962,4831070,85616,42876,19976,2083,734,12893,38736,256862,183060,639317,116941,116887,33118,305495,247326,809227,104469,67218,579271,286418,472904,456279,15581,288523,209397,399716,361590,57729,6917,582252,1988915,0.481,0.519,927.206,0.533,0.148,0.319,467.848,0.884,0.104,0.003,0.005,127.246,0.983,0.017,17.722,0.501,0.233,0.024,0.009,0.151,118.424,2.472,0.029,0.19,0.135,0.473,0.087,0.086,0.021,0.195,0.158,0.516,0.067,0.043,1123.426,635.244
Montana,786690,208619,207783,370288,392625,394065,740901,1738,37700,3097,768371,18319,9432,2065,129,113,5411,3392,33313,23320,116545,22785,21607,2651,24977,27681,140236,23212,11143,90490,48169,79914,66461,15420,44664,34648,67706,52802,7705,6589,94280,328465,0.499,0.501,996.346,0.265,0.264,0.471,889.256,0.942,0.002,0.048,0.004,57.41,0.977,0.023,23.841,0.515,0.113,0.007,0.006,0.295,119.844,2.395,0.015,0.151,0.106,0.527,0.103,0.098,0.012,0.109,0.12,0.61,0.101,0.048,1084.841,744.192
Nebraska,1569825,634150,353709,581966,765894,803931,1492220,47946,9146,8190,1538824,31001,16060,6782,745,169,5408,6119,65201,47384,232918,39706,40568,5224,61017,57671,295077,39780,21488,172156,96836,162608,141015,15925,80082,67769,137124,111289,18239,6936,163326,624829,0.488,0.512,952.686,0.404,0.225,0.371,589.118,0.951,0.031,0.006,0.005,43.748,0.98,0.02,20.146,0.518,0.219,0.024,0.005,0.174,104.041,2.512,0.014,0.151,0.11,0.539,0.092,0.094,0.011,0.127,0.12,0.614,0.083,0.045,1137.784,734.018
Nevada,800493,595160,87787,117546,405060,395433,703053,51203,14344,15606,746709,53784,16703,12366,773,702,19275,3849,20236,33115,140413,22515,20924,3470,18280,38630,152361,14966,10842,72878,49167,84723,98132,18211,33569,30526,62391,69353,13095,8453,68657,339949,0.506,0.494,1024.345,0.743,0.11,0.147,172.116,0.878,0.064,0.018,0.019,115.429,0.933,0.067,72.028,0.311,0.23,0.014,0.013,0.358,85.768,2.355,0.016,0.084,0.137,0.583,0.093,0.087,0.015,0.077,0.162,0.639,0.063,0.045,969.089,754.838
New Hampshire,920610,293068,187257,440285,448462,472148,910551,4324,1385,3364,879649,40961,15387,2872,376,210,19860,3128,36078,32615,127209,31085,26662,3358,36907,38299,165675,27460,13477,85031,53941,98021,86489,17013,40352,38398,82588,68566,9743,6966,75364,386381,0.487,0.513,949.834,0.318,0.203,0.478,916.64,0.989,0.005,0.002,0.004,9.964,0.956,0.044,46.565,0.376,0.07,0.009,0.005,0.485,81.863,2.383,0.012,0.141,0.127,0.495,0.121,0.104,0.012,0.129,0.134,0.581,0.096,0.047,1117.087,722.513
New Jersey,7364823,6291600,265777,807446,3533012,3831811,6154833,924909,10200,109383,6607001,757822,413189,96052,10823,1481,199377,56505,292561,302277,936930,252500,243216,76972,371897,368137,1272928,206864,123460,608238,339151,660630,942271,19800,309026,230979,536397,706026,159680,8127,689491,2772149,0.48,0.52,922.021,0.854,0.036,0.11,123.136,0.836,0.126,0.001,0.015,169.703,0.897,0.103,114.7,0.545,0.127,0.014,0.002,0.263,93.619,2.657,0.027,0.14,0.145,0.45,0.121,0.117,0.032,0.154,0.152,0.526,0.085,0.051,1119.085,674.008
New Mexico,1302894,525320,414643,362931,642157,660737,990657,23071,106750,7728,1250489,52405,11380,6391,589,288,29861,19221,40563,42563,164972,31719,41206,20513,44648,52732,197590,27367,24053,150436,75663,114244,102726,14654,88675,57041,96313,79726,13162,6119,225513,507513,0.493,0.507,971.88,0.403,0.318,0.279,386.112,0.76,0.018,0.082,0.006,138.846,0.96,0.04,41.908,0.217,0.122,0.011,0.005,0.57,173.086,2.567,0.056,0.119,0.125,0.485,0.093,0.121,0.056,0.122,0.144,0.539,0.075,0.066,1046.713,688.551
New York,17558072,13792375,1065693,2700004,8339422,9218650,14033644,2405818,43987,330972,15169134,2388938,1115249,290456,32621,4200,798051,156107,692127,741432,2219987,490861,595708,227254,886670,912319,2961569,422475,414503,1927934,940854,1612552,1864611,16647,943638,625493,1257633,1351372,289895,7498,2298922,6867638,0.475,0.525,904.625,0.786,0.061,0.154,181.72,0.799,0.137,0.003,0.019,198.151,0.864,0.136,157.487,0.467,0.122,0.014,0.002,0.334,130.932,2.557,0.032,0.141,0.151,0.453,0.1,0.122,0.039,0.152,0.157,0.508,0.073,0.071,1148.793,662.727
North Carolina,5881766,2002025,820827,3058914,2855385,3026381,4460570,1319054,65960,23150,5803408,78358,30700,19248,2443,518,13413,113024,302488,294813,628827,136822,107330,87756,332352,406585,786951,140156,66115,692890,364746,564896,423182,14481,400615,285644,500919,346060,50252,6133,839950,2274737,0.485,0.515,943.498,0.34,0.14,0.52,1083.625,0.758,0.224,0.011,0.004,315.691,0.987,0.013,13.502,0.392,0.246,0.031,0.007,0.171,142.806,2.586,0.071,0.191,0.186,0.397,0.086,0.068,0.048,0.183,0.223,0.432,0.077,0.036,1137.739,548.363
North Dakota,652717,176844,141466,334407,328426,324291,626358,2471,19953,2292,637899,14818,7816,1975,197,35,4117,4262,45795,15192,83703,16833,14248,4018,36389,16890,104310,16929,6032,72474,39595,63186,53310,15293,37268,29072,53335,42519,6224,6417,79324,258772,0.503,0.497,1012.751,0.271,0.217,0.512,1050.57,0.96,0.004,0.031,0.004,39.46,0.977,0.023,23.229,0.527,0.133,0.013,0.002,0.278,121.529,2.522,0.024,0.254,0.084,0.465,0.093,0.079,0.022,0.197,0.092,0.565,0.092,0.033,1108.787,663.89
Ohio,10797630,6538206,1380053,2879371,5217137,5580493,9607133,1076742,15554,53166,10495445,302185,195605,47322,5600,1311,33923,62786,396881,495410,1478199,248914,255559,61949,444998,615990,1876491,222274,132216,1030935,563427,1091775,1148392,17754,499121,389908,910421,930137,134360,7285,1088962,4108105,0.483,0.517,934.888,0.606,0.128,0.267,363.637,0.89,0.1,0.001,0.005,119.23,0.972,0.028,28.792,0.647,0.157,0.019,0.004,0.112,100.852,2.628,0.021,0.135,0.169,0.503,0.085,0.087,0.018,0.133,0.184,0.559,0.066,0.039,1125.24,669.72
Oklahoma,3025290,1266860,768222,990208,1476705,1548585,2603063,204810,171224,19765,2968996,56294,16163,20126,2129,359,12532,31644,126628,114328,401279,79600,77977,24056,142642,162986,499436,65043,44142,381896,185549,289464,261282,14750,200957,140121,247699,206436,35295,6858,393866,1237040,0.488,0.512,953.583,0.419,0.254,0.327,486.569,0.86,0.068,0.057,0.007,152.051,0.981,0.019,18.961,0.287,0.358,0.038,0.006,0.223,130.191,2.446,0.038,0.152,0.138,0.483,0.096,0.094,0.026,0.152,0.174,0.532,0.069,0.047,1089.048,659.681
Oregon,2633105,1268226,520128,844751,1296566,1336539,2496398,37454,30469,40958,2525300,107805,38066,28871,1605,1729,31208,12001,84074,92636,408431,77725,86742,10236,74668,111219,504540,68113,49456,285093,154911,276775,275971,16780,134711,104532,220444,209452,34589,7557,274159,1083285,0.492,0.508,970.092,0.482,0.198,0.321,472.362,0.948,0.014,0.012,0.016,43.615,0.959,0.041,42.69,0.353,0.268,0.015,0.016,0.289,104.12,2.431,0.016,0.11,0.122,0.536,0.102,0.114,0.013,0.091,0.136,0.617,0.083,0.06,1085.898,756.41
Pennsylvania,11863895,7168250,1052601,3643044,5682590,6181305,10668416,1045318,11132,70514,11462879,401016,270022,60360,6344,1422,40394,69733,536849,548466,1606243,294907,287155,84353,640724,676618,2095842,236413,162941,1206224,653060,1199078,1162298,16880,577616,474504,1017669,934329,143691,7077,1209819,4596431,0.479,0.521,919.319,0.604,0.089,0.307,443.147,0.899,0.088,0.001,0.006,105.636,0.966,0.034,34.984,0.673,0.151,0.016,0.004,0.101,101.975,2.581,0.021,0.161,0.164,0.48,0.088,0.086,0.022,0.164,0.174,0.538,0.061,0.042,1140.241,646.871
Rhode Island,947154,790809,33195,123150,451251,495903,900408,27361,3204,6617,863153,84001,53744,6343,3400,255,15539,9728,43396,45882,112863,26936,25338,12478,53580,58885,149663,20541,15953,103719,53601,95344,85676,16097,47628,38124,81023,69155,10412,6897,93959,372672,0.476,0.524,909.958,0.835,0.035,0.13,149.453,0.951,0.029,0.003,0.007,41.295,0.911,0.089,97.319,0.64,0.076,0.04,0.003,0.185,99.201,2.542,0.037,0.164,0.174,0.427,0.102,0.096,0.04,0.172,0.189,0.481,0.066,0.051,1127.288,610.688
South Carolina,3121820,1189675,499578,1432567,1518013,1603807,2147825,947969,6744,13370,3075740,46080,18544,10405,1308,214,6261,66499,150698,145679,317715,71427,55903,56733,171272,211413,380384,68127,37172,345852,178935,282648,223287,14711,205629,142095,252031,184239,25980,5886,500363,1153709,0.486,0.514,946.506,0.381,0.16,0.459,848.048,0.688,0.304,0.002,0.004,450.727,0.985,0.015,14.982,0.402,0.226,0.028,0.005,0.136,160.279,2.706,0.082,0.187,0.18,0.393,0.088,0.069,0.061,0.185,0.229,0.411,0.074,0.04,1091.312,537.055
South Dakota,690768,138708,182069,369991,340683,350085,639840,2152,45572,1917,681169,9599,5813,1470,149,54,1552,3020,44117,18257,92097,16291,14196,2974,35873,20815,118214,17567,6570,91810,44320,63960,43358,13156,49549,33221,55817,35148,5021,5697,112739,276997,0.493,0.507,973.144,0.201,0.264,0.536,1153.421,0.926,0.003,0.066,0.003,77.583,0.986,0.014,14.092,0.606,0.153,0.016,0.006,0.162,163.208,2.494,0.016,0.235,0.097,0.49,0.087,0.076,0.015,0.178,0.103,0.585,0.087,0.033,1161.253,679.336
Tennessee,4591120,2086494,687079,1817547,2216600,2374520,3837968,724808,7035,15252,4542751,48369,18108,13337,1654,516,7474,92688,268787,181663,515391,102301,90957,70113,313495,253593,657353,91270,54645,575523,276368,423503,343040,14142,339444,218963,374166,276128,43525,6213,736471,1747422,0.483,0.517,933.494,0.454,0.15,0.396,655.309,0.836,0.158,0.002,0.003,194.659,0.989,0.011,10.648,0.374,0.276,0.034,0.011,0.155,160.412,2.627,0.074,0.215,0.145,0.412,0.082,0.073,0.049,0.218,0.176,0.456,0.063,0.038,1133.52,561.58
Texas,14229191,9128356,2204661,2896174,6998723,7230468,11303054,1704741,50812,134428,13372978,856213,100454,117516,10664,2534,563266,258240,530787,559133,1648552,404116,388506,260893,590705,770032,1984838,336439,211920,1455638,760371,1280460,1438467,16708,802942,545797,1048166,1082478,217273,7205,2035873,5549352,0.492,0.508,967.949,0.642,0.155,0.204,255.552,0.794,0.12,0.004,0.009,167.21,0.94,0.06,64.026,0.117,0.137,0.012,0.003,0.658,143.077,2.564,0.068,0.14,0.148,0.435,0.107,0.103,0.063,0.142,0.185,0.478,0.081,0.051,1037.696,626.167
Utah,1461037,1049644,183416,227977,724501,736536,1383997,9691,20103,20224,1410586,50451,21257,11124,865,2832,11889,4115,20015,41141,190433,40746,46989,4773,20679,50095,233437,34035,18332,110934,73483,135844,129263,17671,60783,55884,117794,104505,15205,6305,148005,490006,0.496,0.504,983.66,0.718,0.126,0.156,184.887,0.947,0.007,0.014,0.014,36.14,0.965,0.035,35.766,0.421,0.22,0.017,0.056,0.236,101.301,2.982,0.012,0.058,0.12,0.554,0.119,0.137,0.013,0.057,0.139,0.646,0.094,0.051,1027.451,800.199
