STATE,Total_Population,Urban,Suburban,Rural,Male,Female,W,AA,AI,APAC,Native,Foreign,Europe,Asia,Africa,Oceania,Americas,Male_5,Male_8,Male_11,Male_A,Male_B,Male_G,Female_5,Female_8,Female_11,Female_A,Female_B,Female_G,Household_1,Household_2,Household_3,Household_4,MedianIncome,Family_1,Family_2,Family_3,Family_4,Family_5,PerCapitaIncome,Poverty,HousingUnits,Male_Ratio,Female_Ratio,Sex_Ratio,Urban_Ratio,Suburban_Ratio,Rural_Ratio,Location_Ratio,W_Ratio,AA_Ratio,AI_Ratio,APAC_Ratio,Race_Ratio,Native_Ratio,Foreign_Ratio,Origin_Ratio,Europe_Ratio,Asia_Ratio,Africa_Ratio,Oceania_Ratio,Americas_Ratio,Poverty_Ratio,Housing_Ratio,Male_5_Ratio,Male_8_Ratio,Male_11_Ratio,Male_A_Ratio,Male_B_Ratio,Male_G_Ratio,Female_5_Ratio,Female_8_Ratio,Female_11_Ratio,Female_A_Ratio,Female_B_Ratio,Female_G_Ratio,Educated_Sex_Ratio,College_Educated_Ratio
Alabama,3893888,1765461,572252,1556175,1871534,2022354,2873289,996283,9304,10660,3854886,39002,14896,9329,1348,286,6204,77648,186730,167632,439288,81688,70713,64029,225470,243331,543124,70073,47589,505631,217278,334535,284927,13669,298785,175680,299387,235358,33361,5894,719905,1467374,0.481,0.519,925.424,0.453,0.147,0.4,665.683,0.738,0.256,0.002,0.003,353.688,0.99,0.01,10.118,0.382,0.239,0.035,0.007,0.159,184.881,2.654,0.076,0.182,0.164,0.429,0.08,0.069,0.054,0.189,0.204,0.455,0.059,0.04,1116.779,564.861
Alaska,401851,170247,88320,143284,213041,188810,311968,13748,64357,8314,385635,16216,5109,5386,172,174,3899,3554,6694,9211,67689,12469,13815,3041,5724,8717,62213,10221,8049,24276,14158,26680,67255,25414,14109,9739,18316,37083,17593,10193,41615,162825,0.53,0.47,1128.335,0.424,0.22,0.357,554.147,0.776,0.034,0.16,0.021,277.012,0.96,0.04,42.05,0.315,0.332,0.011,0.011,0.24,103.558,2.468,0.031,0.059,0.081,0.597,0.11,0.122,0.031,0.058,0.089,0.635,0.104,0.082,856.448,825.253
Arizona,2718215,1913585,365143,439487,1337942,1380273,2260288,74159,154390,24562,2555409,162806,42762,17716,1466,895,90034,28384,84943,87851,387514,76225,83133,30453,89929,109414,468943,61329,50773,276187,160016,260699,262652,16448,149834,114870,212097,198861,34250,7041,351365,1110558,0.492,0.508,969.331,0.704,0.134,0.162,192.865,0.832,0.027,0.057,0.009,111.982,0.94,0.06,63.71,0.263,0.109,0.009,0.005,0.553,129.263,2.448,0.038,0.114,0.117,0.518,0.102,0.111,0.038,0.111,0.135,0.578,0.076,0.063,1062.488,723.538
Arkansas,2286435,563348,616208,1106879,1104688,1181747,1889935,373025,12757,7232,2264064,22371,8968,6325,619,218,3088,47172,128899,97266,268742,43343,38252,34186,148413,139701,328062,40237,22845,335521,148239,196490,136456,12214,199901,122159,177789,110773,17384,5614,423552,898593,0.483,0.517,934.792,0.246,0.27,0.484,938.386,0.827,0.163,0.006,0.003,207.951,0.99,0.01,9.881,0.401,0.283,0.028,0.01,0.138,185.246,2.544,0.076,0.207,0.156,0.431,0.069,0.061,0.048,0.208,0.196,0.46,0.056,0.032,1116.479,554.537
California,23667902,19771903,1835703,2060296,11666485,12001417,18221353,1818660,231702,1312973,20087869,3580033,692192,876878,34551,29900,1764019,270298,667604,767093,3388634,738522,899772,287959,770083,961699,4177751,581347,533224,2270644,1279524,2191756,2902709,18243,1100457,816957,1602503,1985334,472833,8295,2626580,9279036,0.493,0.507,972.092,0.835,0.078,0.087,95.35,0.77,0.077,0.01,0.055,184.582,0.849,0.151,178.219,0.193,0.245,0.01,0.008,0.493,110.976,2.551,0.04,0.099,0.114,0.503,0.11,0.134,0.039,0.105,0.132,0.571,0.08,0.073,1052.794,734.781
Colorado,2889964,2017063,312806,560095,1434293,1455671,2591270,101695,21015,34257,2775834,114130,48499,23958,2636,882,31099,15562,71937,78787,416065,110253,114791,14620,73605,100894,510408,95444,61525,270149,164176,292148,336406,18056,127044,103154,222372,244094,47564,7998,284898,1194253,0.496,0.504,985.314,0.698,0.108,0.194,240.398,0.897,0.035,0.007,0.012,60.575,0.961,0.039,41.116,0.425,0.21,0.023,0.008,0.272,98.582,2.42,0.019,0.089,0.098,0.515,0.137,0.142,0.017,0.086,0.118,0.596,0.111,0.072,1040.973,786.401
Connecticut,3107576,2314820,134954,657802,1498005,1609571,2811092,216641,4882,21116,2839770,267806,171206,19241,2903,975,60004,20068,121493,117258,396447,113008,117679,28420,140013,136508,547393,90644,71233,242831,147621,301286,402543,20077,112965,95725,243346,295401,70750,8511,242650,1158884,0.482,0.518,930.686,0.745,0.043,0.212,268.515,0.905,0.07,0.002,0.007,86.315,0.914,0.086,94.306,0.639,0.072,0.011,0.004,0.224,78.083,2.682,0.023,0.137,0.132,0.447,0.128,0.133,0.028,0.138,0.135,0.54,0.089,0.07,1130.97,703.31
Delaware,594338,367562,52257,174519,286599,307739,488002,96157,1391,4627,575509,18829,10488,3678,375,80,2655,3823,21077,25138,75708,17189,18519,3628,22530,31867,100680,15798,8700,54720,31301,55804,64865,17846,29049,22033,44859,49394,9738,7449,68408,238611,0.482,0.518,931.305,0.618,0.088,0.294,415.701,0.821,0.162,0.002,0.008,209.374,0.968,0.032,32.717,0.557,0.195,0.02,0.004,0.141,115.099,2.491,0.024,0.131,0.156,0.469,0.106,0.115,0.02,0.123,0.174,0.55,0.086,0.047,1123.519,686.462
District Of Columbia,638333,638333,0,0,295417,342916,174705,448370,1014,6883,597774,40559,10349,5828,3379,290,15317,7350,22578,28011,63801,17619,38937,6915,27574,38849,94097,23685,29237,77598,40412,59570,76452,16211,33904,19588,31289,36487,14301,8960,113356,276984,0.463,0.537,861.485,1.0,0.0,0.0,0.0,0.274,0.702,0.002,0.011,2611.642,0.936,0.064,67.85,0.255,0.144,0.083,0.007,0.378,177.581,2.305,0.041,0.127,0.157,0.358,0.099,0.218,0.031,0.125,0.176,0.427,0.107,0.133,1221.524,670.699
Florida,9746324,7428496,783889,1533939,4675626,5070698,8184855,1343134,25006,62514,8687592,1058732,304362,55891,8470,2853,608795,112266,413720,425201,1399936,292521,257950,104592,470851,556318,1837107,240931,138732,1248950,664207,956507,878878,14675,652874,487097,786416,643527,136571,7270,1287056,4378691,0.48,0.52,922.087,0.762,0.08,0.157,186.784,0.84,0.138,0.003,0.006,174.793,0.891,0.109,121.867,0.287,0.053,0.008,0.003,0.575,132.056,2.226,0.039,0.143,0.147,0.482,0.101,0.089,0.031,0.141,0.166,0.549,0.072,0.041,1136.568,666.735
Georgia,5463105,2603246,805835,2054024,2640445,2822660,3949583,1464435,10079,26009,5371625,91480,33456,22822,2788,637,17928,107429,237756,245820,585416,139817,114791,90541,295120,368155,705024,121188,74471,628003,306340,483896,454325,15033,366620,235395,413576,354102,62638,6402,884383,2028350,0.483,0.517,935.446,0.477,0.148,0.376,602.515,0.723,0.268,0.002,0.005,379.919,0.983,0.017,17.03,0.366,0.249,0.03,0.007,0.196,161.883,2.693,0.075,0.166,0.172,0.409,0.098,0.08,0.055,0.178,0.223,0.426,0.073,0.045,1072.211,564.152
Hawaii,964691,688175,146417,130099,494683,470008,331925,17687,2976,590659,827675,137016,9100,108183,493,7367,5777,14121,27190,26679,142903,32690,30326,14848,32386,28114,149952,26653,21746,64417,41604,72678,116235,20473,38796,29796,56970,81325,21087,7740,91618,334235,0.513,0.487,1052.499,0.713,0.152,0.135,155.883,0.344,0.018,0.003,0.612,1841.747,0.858,0.142,165.543,0.066,0.79,0.004,0.054,0.042,94.971,2.886,0.052,0.099,0.097,0.522,0.119,0.111,0.054,0.118,0.103,0.548,0.097,0.079,963.248,738.247
Idaho,943935,188249,321453,434233,471155,472780,904045,2711,10523,6721,920531,23404,7804,2995,330,386,10162,4902,31414,31251,135322,25370,24592,3136,25378,39100,162449,20525,10926,100944,58304,92205,73436,15285,55661,45118,79886,59315,8278,6248,116808,375127,0.499,0.501,996.563,0.199,0.341,0.46,851.935,0.958,0.003,0.011,0.007,22.073,0.975,0.025,25.424,0.333,0.128,0.014,0.016,0.434,123.746,2.516,0.019,0.124,0.124,0.535,0.1,0.097,0.012,0.097,0.15,0.621,0.078,0.042,1046.502,737.189
Illinois,11426518,8293878,1224161,1908479,5537537,5888981,9267607,1674467,19612,172213,10602822,823696,366238,146649,9027,2059,247036,89366,477305,443282,1488479,312169,316599,94838,574317,558132,1870755,279258,174259,1012966,540573,1063665,1429434,19321,479797,344083,827723,1075052,218453,8066,1230541,4319672,0.485,0.515,940.322,0.726,0.107,0.167,200.512,0.811,0.147,0.002,0.015,201.378,0.928,0.072,77.686,0.445,0.178,0.011,0.002,0.3,107.692,2.645,0.029,0.153,0.142,0.476,0.1,0.101,0.027,0.162,0.157,0.527,0.079,0.049,1097.78,665.022
Indiana,5490224,2601162,924136,1964926,2665825,2824399,5008817,414489,9691,24355,5388422,101802,49797,20760,1922,524,21091,31529,218905,228449,766400,112552,114708,26775,241835,306793,922496,83352,81978,511674,296244,554887,565570,17582,253401,213309,469194,462404,63337,7142,516190,2091795,0.486,0.514,943.856,0.474,0.168,0.358,557.379,0.912,0.075,0.002,0.004,89.549,0.981,0.019,18.893,0.489,0.204,0.019,0.005,0.207,94.02,2.625,0.021,0.149,0.155,0.52,0.076,0.078,0.016,0.145,0.184,0.555,0.05,0.049,1094.767,663.787
Iowa,2913808,931856,776376,1205576,1416390,1497418,2841326,42228,6342,13847,2866149,47659,22314,12436,1198,366,7806,10447,137414,90801,427278,69404,65237,8658,127399,109237,551813,69141,33273,298476,167191,302782,284658,16799,139693,116225,254500,227105,35788,7136,286173,1131299,0.486,0.514,945.888,0.32,0.266,0.414,705.745,0.975,0.014,0.002,0.005,21.968,0.984,0.016,16.628,0.468,0.261,0.025,0.008,0.164,98.213,2.576,0.013,0.172,0.113,0.534,0.087,0.081,0.01,0.142,0.121,0.613,0.077,0.037,1164.273,715.337
Kansas,2363679,854553,721346,787780,1156941,1206738,2170046,126356,17960,17539,2315788,47891,15322,15323,1285,277,12631,9874,90533,73525,346168,66768,69342,8679,94269,93355,435272,60831,39486,255467,143234,241931,232704,16362,119185,100822,203662,182622,32096,7350,231718,954906,0.489,0.511,958.734,0.362,0.305,0.333,499.892,0.918,0.053,0.008,0.007,74.586,0.98,0.02,20.68,0.32,0.32,0.027,0.006,0.264,98.033,2.475,0.015,0.138,0.112,0.528,0.102,0.106,0.012,0.129,0.128,0.595,0.083,0.054,1110.54,733.28
Kentucky,3660777,1232682,629501,1798594,1789039,1871738,3380256,259289,4601,11823,3626215,34562,13989,10021,956,253,5023,74579,249327,136740,392712,63589,65463,51270,278608,187611,484706,55917,46170,465020,205096,320431,272555,13965,283170,163774,283209,224988,31354,5978,626240,1369125,0.489,0.511,955.817,0.337,0.172,0.491,965.852,0.923,0.071,0.001,0.003,81.566,0.991,0.009,9.531,0.405,0.29,0.028,0.007,0.145,171.068,2.674,0.076,0.254,0.139,0.4,0.065,0.067,0.046,0.252,0.17,0.439,0.051,0.042,1124.633,531.251
Louisiana,4205900,2201661,685648,1318591,2039894,2166006,2915310,1238472,12932,25123,4120398,85502,20210,21962,2080,281,26319,90813,181287,163575,453024,91674,86766,86044,210446,233492,545577,84086,54697,492674,205115,345208,370397,15227,286795,155038,292329,286749,53568,6430,764848,1548419,0.485,0.515,941.777,0.523,0.163,0.314,456.685,0.693,0.294,0.003,0.006,437.87,0.98,0.02,20.751,0.236,0.257,0.024,0.003,0.308,181.851,2.716,0.085,0.17,0.153,0.425,0.086,0.081,0.071,0.173,0.192,0.449,0.069,0.045,1083.767,576.741
Maine,1124660,249169,284903,590588,546235,578425,1112977,3381,4365,3073,1081258,43402,10591,2270,189,142,28053,6378,49594,44270,157298,29954,23408,5632,48095,53397,201892,29442,12480,137891,76428,112453,68702,13816,73957,59926,98599,56396,6610,5768,140996,501093,0.486,0.514,944.349,0.222,0.253,0.525,1105.821,0.99,0.003,0.004,0.003,9.721,0.961,0.039,40.14,0.244,0.052,0.004,0.003,0.646,125.368,2.244,0.021,0.16,0.142,0.506,0.096,0.075,0.016,0.137,0.152,0.575,0.084,0.036,1157.382,686.683
Maryland,4216975,3141370,245185,830420,2042810,2174165,3166142,957418,9075,67949,4021394,195581,76850,57168,7401,1225,41823,32183,165269,174498,504468,127289,169786,29742,184408,227443,672389,112947,98674,323052,198027,384640,555961,20281,169267,132352,297921,402546,92300,8293,404560,1570907,0.484,0.516,939.584,0.745,0.058,0.197,245.211,0.751,0.227,0.002,0.016,326.72,0.954,0.046,48.635,0.393,0.292,0.038,0.006,0.214,95.936,2.684,0.027,0.141,0.149,0.43,0.108,0.145,0.022,0.139,0.172,0.507,0.085,0.074,1102.885,674.465
Massachusetts,5737037,4444695,363644,928698,2730893,3006144,5378403,221029,9198,52615,5236055,500982,284762,49456,11162,1421,127218,40813,184503,211383,751039,186468,210890,55032,216635,254923,1055298,171601,124671,563675,296286,552613,620002,17575,252708,193357,441687,470527,86706,7458,532458,2208146,0.476,0.524,908.437,0.775,0.063,0.162,193.143,0.937,0.039,0.002,0.009,52.588,0.913,0.087,95.679,0.568,0.099,0.022,0.003,0.254,92.811,2.598,0.026,0.116,0.133,0.474,0.118,0.133,0.029,0.115,0.136,0.562,0.091,0.066,1176.919,721.855
Michigan,9262078,5781759,769792,2710527,4516189,4745889,7893278,1197177,44919,62641,8844926,417152,211353,77476,5244,1384,100108,58041,336169,405563,1249443,206453,232012,57135,340460,484322,1573720,172636,138086,818755,417778,846581,1116716,19223,425697,291253,675733,855853,156374,7688,945915,3589912,0.488,0.512,951.6,0.624,0.083,0.293,413.723,0.852,0.129,0.005,0.007,165.297,0.955,0.045,47.163,0.507,0.186,0.013,0.003,0.24,102.128,2.58,0.023,0.135,0.163,0.502,0.083,0.093,0.021,0.123,0.175,0.569,0.062,0.05,1116.436,679.924
