STATE,Total_Population,Urban,Suburban,Rural,Male,Female,W,AA,AI,APAC,Native,Foreign,Europe,Asia,Africa,Oceania,Americas,Male_5,Male_8,Male_11,Male_A,Male_B,Male_G,Female_5,Female_8,Female_11,Female_A,Female_B,Female_G,Household_1,Household_2,Household_3,Household_4,MedianIncome,Family_1,Family_2,Family_3,Family_4,Family_5,PerCapitaIncome,Poverty,HousingUnits,Male_Ratio,Female_Ratio,Sex_Ratio,Urban_Ratio,Suburban_Ratio,Rural_Ratio,Location_Ratio,W_Ratio,AA_Ratio,AI_Ratio,APAC_Ratio,Race_Ratio,Native_Ratio,Foreign_Ratio,Origin_Ratio,Europe_Ratio,Asia_Ratio,Africa_Ratio,Oceania_Ratio,Americas_Ratio,Poverty_Ratio,Housing_Ratio,Male_5_Ratio,Male_8_Ratio,Male_11_Ratio,Male_A_Ratio,Male_B_Ratio,Male_G_Ratio,Female_5_Ratio,Female_8_Ratio,Female_11_Ratio,Female_A_Ratio,Female_B_Ratio,Female_G_Ratio,Educated_Sex_Ratio,College_Educated_Ratio
Alabama,4447100,1941208,524465,1981427,2146504,2300596,3162808,1155930,22430,61753,4359328,87772,18415,26235,3662,529,38926,29673,85138,163858,800279,175530,98876,28325,97197,192265,941057,176242,98960,250526,140880,257393,1088586,34135,103257,72749,160921,389879,496379,18189,698097,1963711,0.483,0.517,933.021,0.437,0.118,0.446,803.605,0.711,0.26,0.005,0.014,392.092,0.98,0.02,20.134,0.21,0.299,0.042,0.006,0.443,156.978,2.265,0.022,0.063,0.121,0.591,0.13,0.073,0.018,0.063,0.125,0.613,0.115,0.065,1131.735,793.428
Alaska,626932,277670,133587,215675,324112,302820,434534,21787,98043,38422,589762,37170,7425,18826,369,997,9553,2469,5115,9986,130956,29549,17601,2867,5212,8948,120196,31647,15010,12458,10995,22917,175434,51571,5664,5097,13452,38527,90871,22660,57602,260978,0.517,0.483,1070.312,0.443,0.213,0.344,524.429,0.693,0.035,0.156,0.061,364.188,0.941,0.059,63.025,0.2,0.506,0.01,0.027,0.257,91.879,2.402,0.013,0.026,0.051,0.669,0.151,0.09,0.016,0.028,0.049,0.654,0.172,0.082,936.819,908.849
Arizona,5130632,3908163,615372,607097,2561057,2569575,3873611,158873,255879,695743,4474449,656183,71674,77450,8475,3156,495428,39220,89968,118414,934187,256615,151591,38541,86967,121344,1061331,236804,121202,163221,120770,264392,1353242,40558,73164,57940,157508,405868,602113,20275,698669,2189189,0.499,0.501,996.685,0.762,0.12,0.118,134.209,0.755,0.031,0.05,0.136,286.682,0.872,0.128,146.651,0.109,0.118,0.013,0.005,0.755,136.176,2.344,0.025,0.057,0.074,0.588,0.161,0.095,0.023,0.052,0.073,0.637,0.142,0.073,1057.319,848.149
Arkansas,2673400,860747,543432,1269221,1304693,1368707,2138598,418950,17808,62300,2599710,73690,10028,15846,1503,1165,45148,19929,60648,90232,507661,93136,50522,18032,63855,103482,578933,97291,47479,139262,89901,174093,639551,32182,56058,47584,111127,259144,262150,16904,411777,1173043,0.488,0.512,953.23,0.322,0.203,0.475,903.888,0.8,0.157,0.007,0.023,233.358,0.972,0.028,28.345,0.136,0.215,0.02,0.016,0.613,154.027,2.279,0.024,0.074,0.11,0.617,0.113,0.061,0.02,0.07,0.114,0.637,0.107,0.052,1111.134,794.259
California,33871648,29950008,2039655,1881985,16874892,16996756,20170059,2263882,333346,9496715,25007393,8864255,696578,2918642,113255,67131,5068582,480299,687975,727394,5494943,1812647,1153499,540202,737848,770596,6189677,1827510,876310,967089,648780,1318246,8577905,47493,457118,365527,834317,2081334,4247193,22711,4706130,12214549,0.498,0.502,992.83,0.884,0.06,0.056,58.831,0.595,0.067,0.01,0.28,599.599,0.738,0.262,354.465,0.079,0.329,0.013,0.008,0.572,138.94,2.773,0.046,0.066,0.07,0.531,0.175,0.111,0.049,0.067,0.07,0.566,0.167,0.08,1051.105,814.811
Colorado,4301261,3212849,420336,668076,2165983,2135278,3560005,165063,44241,409765,3931358,369903,65274,72417,9763,3065,219375,20015,51275,76273,752286,301757,173154,17155,45903,76434,829536,297271,135573,114658,82584,185997,1276069,47203,41627,33492,94312,303560,619361,24049,388952,1808037,0.504,0.496,1014.38,0.747,0.098,0.155,183.882,0.828,0.038,0.01,0.095,173.896,0.914,0.086,94.09,0.176,0.196,0.026,0.008,0.593,90.427,2.379,0.015,0.037,0.055,0.547,0.219,0.126,0.012,0.033,0.055,0.592,0.212,0.097,1028.669,896.618
Connecticut,3405565,2848497,139562,417506,1649319,1756246,2780355,309843,9639,230880,3035598,369967,141141,70156,9748,1388,147528,15073,45988,75510,581403,205147,156532,18104,53752,82147,702646,211604,147711,91721,64895,126157,1019454,53935,33423,23593,63262,195547,569922,28766,259514,1385975,0.484,0.516,939.116,0.836,0.041,0.123,139.725,0.816,0.091,0.003,0.068,197.947,0.891,0.109,121.876,0.381,0.19,0.026,0.004,0.399,76.203,2.457,0.014,0.043,0.07,0.539,0.19,0.145,0.015,0.044,0.068,0.578,0.174,0.121,1126.054,873.422
Delaware,783600,531032,96726,155842,380541,403059,584773,150666,2731,32397,738702,44898,9944,13497,2248,88,19121,2947,9944,21559,144304,39013,26411,2580,10019,23055,171333,41363,22130,21125,15284,33898,228448,47381,8659,6430,18583,57185,114918,23305,69901,343072,0.486,0.514,944.132,0.678,0.123,0.199,248.252,0.746,0.192,0.003,0.041,317.72,0.943,0.057,60.78,0.221,0.301,0.05,0.002,0.426,89.205,2.284,0.012,0.041,0.088,0.591,0.16,0.108,0.01,0.037,0.085,0.633,0.153,0.082,1119.669,863.785
District Of Columbia,572059,572059,0,0,269366,302693,176101,343312,1713,37487,498498,73561,12909,12503,9208,585,38350,6217,8517,15509,73574,32705,41498,5386,9683,19962,95450,36791,39243,36939,14594,28443,168614,40127,14559,5829,12770,27963,54842,28659,109500,274845,0.471,0.529,889.898,1.0,0.0,0.0,0.0,0.308,0.6,0.003,0.066,2172.117,0.871,0.129,147.565,0.175,0.17,0.125,0.008,0.521,191.414,2.081,0.035,0.048,0.087,0.413,0.184,0.233,0.026,0.047,0.097,0.462,0.178,0.19,1160.424,830.252
Florida,15982378,13470104,799916,1712358,7797715,8184663,12465029,2335505,53541,751988,13311550,2670828,355427,231976,34495,4957,2043939,103932,256763,461090,3128213,802797,494306,105401,273126,483421,3750371,770324,394901,606995,427050,918455,4388621,38819,243787,195528,524009,1362432,1912653,21557,1952629,7302947,0.488,0.512,952.723,0.843,0.05,0.107,119.997,0.78,0.146,0.003,0.047,251.988,0.833,0.167,200.64,0.133,0.087,0.013,0.002,0.765,122.174,2.188,0.02,0.049,0.088,0.596,0.153,0.094,0.018,0.047,0.084,0.649,0.133,0.068,1110.79,847.276
