STATE,Total_Population,Urban,Suburban,Rural,Male,Female,W,AA,AI,APAC,Native,Foreign,Europe,Asia,Africa,Oceania,Americas,Male_5,Male_8,Male_11,Male_A,Male_B,Male_G,Female_5,Female_8,Female_11,Female_A,Female_B,Female_G,Household_1,Household_2,Household_3,Household_4,MedianIncome,Family_1,Family_2,Family_3,Family_4,Family_5,PerCapitaIncome,Poverty,HousingUnits,Male_Ratio,Female_Ratio,Sex_Ratio,Urban_Ratio,Suburban_Ratio,Rural_Ratio,Location_Ratio,W_Ratio,AA_Ratio,AI_Ratio,APAC_Ratio,Race_Ratio,Native_Ratio,Foreign_Ratio,Origin_Ratio,Europe_Ratio,Asia_Ratio,Africa_Ratio,Oceania_Ratio,Americas_Ratio,Poverty_Ratio,Housing_Ratio,Male_5_Ratio,Male_8_Ratio,Male_11_Ratio,Male_A_Ratio,Male_B_Ratio,Male_G_Ratio,Female_5_Ratio,Female_8_Ratio,Female_11_Ratio,Female_A_Ratio,Female_B_Ratio,Female_G_Ratio,Educated_Sex_Ratio,College_Educated_Ratio
Alabama,4779736,2325304,496500,1957932,2320188,2459548,3275394,1251311,28218,153562,4610592,166734,18476,45086,6768,670,95734,31708,66304,149929,914864,214698,121204,27963,61907,156172,1052576,233419,135680,181464,130184,240224,1285704,43160,77508,51863,129615,311611,671947,23587,842292,2171853,0.485,0.515,943.339,0.486,0.104,0.41,693.858,0.685,0.262,0.006,0.032,437.532,0.965,0.035,36.163,0.111,0.27,0.041,0.004,0.574,176.221,2.201,0.021,0.044,0.1,0.61,0.143,0.081,0.017,0.037,0.094,0.631,0.14,0.081,1136.643,843.993
Alaska,710231,315756,153137,241338,369628,340603,473576,23263,104871,56646,661798,49341,8123,27231,1906,1366,10706,2287,4438,10000,156359,36800,21802,3050,3949,8732,135760,42641,21725,9426,8856,18689,216020,69917,4433,3123,8789,29351,124021,32537,66631,306967,0.52,0.48,1085.217,0.445,0.216,0.34,514.697,0.667,0.033,0.148,0.08,390.18,0.932,0.069,74.556,0.165,0.552,0.039,0.028,0.217,93.816,2.314,0.01,0.019,0.043,0.675,0.159,0.094,0.014,0.018,0.04,0.629,0.198,0.101,930.987,927.48
Arizona,6392017,5117783,622876,651358,3175823,3216194,4667121,259008,296529,951059,5542160,868819,82279,145884,22091,3765,614800,44690,88378,130575,1201704,350876,210509,47498,88318,124667,1319022,351131,192587,174815,122529,259590,1800224,50256,81493,53090,132365,379270,907711,25571,1074986,2844526,0.497,0.503,987.448,0.801,0.097,0.102,113.464,0.73,0.041,0.046,0.149,322.811,0.867,0.136,156.765,0.095,0.168,0.025,0.004,0.708,168.176,2.247,0.022,0.044,0.064,0.593,0.173,0.104,0.022,0.042,0.059,0.621,0.165,0.091,1056.521,873.703
Arkansas,2915918,1152837,484752,1278329,1431637,1484281,2245229,449895,22248,141536,2787223,129149,10591,27017,1934,3484,86123,18986,43670,83614,593585,120977,62006,17854,40968,83047,658981,131602,65749,106597,86802,158921,776477,40531,44368,33916,88649,212042,386093,22007,530309,1316299,0.491,0.509,964.532,0.395,0.166,0.438,780.617,0.77,0.154,0.008,0.049,273.326,0.956,0.044,46.336,0.082,0.209,0.015,0.027,0.667,181.867,2.215,0.021,0.047,0.091,0.643,0.131,0.067,0.018,0.041,0.083,0.66,0.132,0.066,1102.713,850.009
California,37253956,33427689,1945917,1880350,18517830,18736126,21453934,2299072,362801,11322765,27220329,10104739,666802,3653615,155002,74732,5554555,478747,710030,760777,6177756,2247372,1395424,555293,743329,715629,6631201,2420198,1281561,683523,645134,1179814,9957860,61400,359919,271387,700897,1741557,5476274,29551,5590100,13680081,0.497,0.503,988.349,0.897,0.052,0.05,53.157,0.576,0.062,0.01,0.304,651.845,0.731,0.271,371.22,0.066,0.362,0.015,0.007,0.55,150.054,2.723,0.041,0.06,0.065,0.525,0.191,0.119,0.045,0.06,0.058,0.537,0.196,0.104,1052.177,835.645
Colorado,5029196,3865471,467290,696435,2520662,2508534,4089202,201737,56010,509791,4552899,489954,69305,105866,24321,4139,286323,25174,49814,75864,884998,384498,226305,21535,44701,71333,934544,396017,214086,122252,88420,182678,1569403,58244,48080,30542,83604,250246,847526,31039,633878,2212898,0.501,0.499,1004.835,0.769,0.093,0.138,160.737,0.813,0.04,0.011,0.101,187.699,0.905,0.097,107.614,0.141,0.216,0.05,0.008,0.584,126.04,2.273,0.015,0.03,0.046,0.537,0.234,0.137,0.013,0.027,0.042,0.556,0.235,0.127,1032.655,913.358
Connecticut,3574097,3031980,112962,429155,1739614,1834483,2772410,362296,11256,335459,3090333,481880,134946,110348,18585,1546,216455,19345,34422,59795,614398,240384,186164,21038,34844,60703,707706,253813,198728,75058,54957,112156,1118013,69519,29554,19067,46703,143273,669003,37807,344616,1487891,0.487,0.513,948.286,0.848,0.032,0.12,136.459,0.776,0.101,0.003,0.094,255.738,0.865,0.135,155.931,0.28,0.229,0.039,0.003,0.449,96.42,2.402,0.017,0.03,0.052,0.532,0.208,0.161,0.016,0.027,0.048,0.554,0.199,0.156,1114.608,905.341
Delaware,897934,616982,130967,149985,434939,462995,618617,191814,4181,59468,825226,74905,10235,23156,7116,158,34240,4899,8268,20618,169421,48053,34372,4245,7521,19899,196376,55067,34592,18128,13605,30561,271782,60119,7169,4918,14805,46489,152417,29733,100655,405885,0.484,0.516,939.403,0.687,0.146,0.167,200.528,0.689,0.214,0.005,0.066,412.958,0.919,0.083,90.769,0.137,0.309,0.095,0.002,0.457,112.096,2.212,0.017,0.029,0.072,0.593,0.168,0.12,0.013,0.024,0.063,0.618,0.173,0.109,1135.754,891.519
District Of Columbia,601723,601723,0,0,284222,317501,231471,305125,2079,45732,523711,82048,14355,15699,12271,849,38874,4428,5842,11760,71186,45079,57495,4366,5439,13714,86948,48884,62291,27304,11975,19497,202416,64267,8635,3968,7644,19047,70349,45004,105606,296719,0.472,0.528,895.185,1.0,0.0,0.0,0.0,0.385,0.507,0.003,0.076,1524.753,0.87,0.136,156.667,0.175,0.191,0.15,0.01,0.474,175.506,2.028,0.023,0.03,0.06,0.364,0.23,0.294,0.02,0.025,0.062,0.392,0.221,0.281,1140.211,890.883
Florida,18801310,16439936,699908,1661466,9189355,9611955,14109162,2999862,71458,1148251,15240820,3644332,378850,366049,60157,6803,2832473,138079,229349,434012,3771410,1072548,641217,142762,227671,389296,4359874,1134733,586673,541783,410383,856277,5338570,47309,224984,162108,430252,1194114,2619947,26451,2887151,8989580,0.489,0.511,956.034,0.874,0.037,0.088,96.936,0.75,0.16,0.004,0.061,299.066,0.811,0.194,239.117,0.104,0.1,0.017,0.002,0.777,153.561,2.091,0.022,0.036,0.069,0.6,0.171,0.102,0.021,0.033,0.057,0.637,0.166,0.086,1108.676,881.078
